id,label,left_id,left__id,left_full_name,left_bat_odis_100,left_bat_odis_50,left_bat_odis_hs,left_bat_odis_mat,left_bat_odis_runs,left_bat_t20is_100,left_bat_t20is_50,left_bat_t20is_hs,left_bat_t20is_mat,left_bat_t20is_runs,left_bat_tests_100,left_bat_tests_50,left_bat_tests_hs,left_bat_tests_mat,left_bat_tests_runs,left_batting_style,left_born,left_bowling_style,left_playing_role,right_id,right__id,right_full_name,right_bat_odis_100,right_bat_odis_50,right_bat_odis_hs,right_bat_odis_mat,right_bat_odis_runs,right_bat_t20is_100,right_bat_t20is_50,right_bat_t20is_hs,right_bat_t20is_mat,right_bat_t20is_runs,right_bat_tests_100,right_bat_tests_50,right_bat_tests_hs,right_bat_tests_mat,right_bat_tests_runs,right_batting_style,right_born,right_bowling_style,right_playing_role
0,1,2675,5578,Sadashiv Patil,0,0,0,0,0,0,0,0,0,0,0.0,0.0,14.0,1.0,14.0,Right Handed Bat,"Oct 10, 1933|Kolhapur, Maharashtra",Right-arm fast-medium,--,1570,32284,Sadashiv Raoji Patil,0,0,0,0,0,0,0,0,0,0,0.0,0.0,14.0,1.0,14.0,Right-hand bat,"October 10, 1933, Kolhapur, Maharashtra",Right-arm fast-medium,
1,1,440,775,Jeremy Snape,0.0,0.0,38.0,10.0,118.0,0.0,0.0,7.0,1.0,7.0,0,0,0,0,0,Right Handed Bat,"Apr 27, 1973|Stoke-on-Trent, Staffordshire",Right-arm offbreak,Bowler,1008,20278,Jeremy Nicholas Snape,0.0,0.0,38.0,10.0,118.0,0.0,0.0,7.0,1.0,7.0,0,0,0,0,0,Right-hand bat,"April 27, 1973, Stoke-on-Trent, Staffordshire",Right-arm offbreak,
2,1,2827,5736,Graham Gedye,0,0,0,0,0,0,0,0,0,0,0.0,2.0,55.0,4.0,193.0,Right Handed Bat,"May 02, 1929|Otahuhu, Auckland",0,--,1773,37099,Sydney Graham Gedye,0,0,0,0,0,0,0,0,0,0,0.0,2.0,55.0,4.0,193.0,Right-hand bat,"May 2, 1929, Otahuhu, Auckland",0,
3,1,2414,5300,Barry Wood,0.0,2.0,78.0,13.0,314.0,0,0,0,0,0,0.0,2.0,90.0,12.0,454.0,Right Handed Bat,"Dec 26, 1942|Ossett, Yorkshire",Right-arm medium,--,1120,22498,Barry Wood,0.0,2.0,78.0,13.0,314.0,0,0,0,0,0,0.0,2.0,90.0,12.0,454.0,Right-hand bat,"December 26, 1942, Ossett, Yorkshire",Right-arm medium,
4,1,1600,4385,Howard Francis,0,0,0,0,0,0,0,0,0,0,0.0,0.0,29.0,2.0,39.0,Right Handed Bat,"May 26, 1868|Westbury, Clifton, Bristol, England",0,--,2355,45072,Howard Henry Francis,0,0,0,0,0,0,0,0,0,0,0.0,0.0,29.0,2.0,39.0,Right-hand bat,"May 26, 1868, Westbury, Clifton, Bristol, England",0,
5,1,1628,4413,Billy Zulch,0,0,0,0,0,0,0,0,0,0,2.0,4.0,150.0,16.0,983.0,Right Handed Bat,"Jan 02, 1886|Lydenburg, Transvaal",Right-arm medium,--,2608,48109,Johan Wilhelm Zulch,0,0,0,0,0,0,0,0,0,0,2.0,4.0,150.0,16.0,983.0,Right-hand bat,"January 2, 1886, Lydenburg, Transvaal",Right-arm medium,
6,1,3792,9400,Jermaine Blackwood,0.0,0.0,9.0,2.0,11.0,0,0,0,0,0,1.0,10.0,112.0,27.0,1324.0,Right Handed Bat,"Nov 20, 1991|Jamaica",Right-arm offbreak,Batsman,4967,431909,Jermaine Blackwood,0.0,0.0,9.0,2.0,11.0,0,0,0,0,0,1.0,10.0,112.0,27.0,1324.0,Right-hand bat,"November 20, 1991, Jamaica",Right-arm offbreak,Middle-order batsman
7,1,1758,4543,Peter Carlstein,0,0,0,0,0,0,0,0,0,0,0.0,0.0,42.0,8.0,190.0,Right Handed Bat,"Oct 28, 1938|Klerksdorp, Transvaal",Right-arm legbreak,--,2294,44424,Peter Rudolph Carlstein,0,0,0,0,0,0,0,0,0,0,0.0,0.0,42.0,8.0,190.0,Right-hand bat,"October 28, 1938, Klerksdorp, Transvaal",Legbreak,
8,1,2061,4947,Audley Miller,0,0,0,0,0,0,0,0,0,0,0.0,0.0,20.0,1.0,24.0,Right Handed Bat,"Oct 19, 1869|Brentry, Westbury-on-Trym, Gloucestershire",Right-arm fast-medium,--,856,17022,Audley Montague Miller,0,0,0,0,0,0,0,0,0,0,0.0,0.0,20.0,1.0,24.0,Right-hand bat,"October 19, 1869, Brentry, Westbury-on-Trym, Gloucestershire",Right-arm medium-fast,
9,1,719,1920,Isuru Udana,0.0,1.0,78.0,5.0,110.0,0.0,1.0,84.0,21.0,173.0,0,0,0,0,0,Right Handed Bat,"Feb 17, 1988|Balangoda",Left-arm fast-medium,Batting Allrounder,4689,328026,Isuru Udana Tillakaratna,0.0,1.0,78.0,5.0,110.0,0.0,1.0,84.0,21.0,173.0,0,0,0,0,0,Right-hand bat,"February 17, 1988, Balangoda",Left-arm medium-fast,Allrounder
10,1,978,3439,Trevor Madondo,0.0,1.0,71.0,13.0,191.0,0,0,0,0,0,0.0,1.0,74.0,3.0,90.0,Right Handed Bat,"Nov 22, 1976|Mount Darwin, Mashonaland",Right-arm medium,--,4096,55571,Trevor Nyasha Madondo,0.0,1.0,71.0,13.0,191.0,0,0,0,0,0,0.0,1.0,74.0,3.0,90.0,Right-hand bat,"November 22, 1976, Mount Darwin, Mashonaland",Right-arm medium,
11,1,1850,4640,David Colley,0,0,0,1.0,0,0,0,0,0,0,0.0,1.0,54.0,3.0,84.0,Right Handed Bat,"Mar 15, 1947|Mosman, Sydney, New South Wales",Right-arm fast-medium,--,65,4600,David John Colley,0,0,0,1.0,0,0,0,0,0,0,0.0,1.0,54.0,3.0,84.0,Right-hand bat,"March 15, 1947, Mosman, Sydney, New South Wales",Right-arm fast-medium,
