id,_id,full_name,bat_odis_100,bat_odis_50,bat_odis_hs,bat_odis_mat,bat_odis_runs,bat_t20is_100,bat_t20is_50,bat_t20is_hs,bat_t20is_mat,bat_t20is_runs,bat_tests_100,bat_tests_50,bat_tests_hs,bat_tests_mat,bat_tests_runs,batting_style,born,bowling_style,playing_role
2195,5081,Harry Elliott,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,4.0,61.0,Right Handed Bat,"Nov 02, 1891|Scarcliffe, Derbyshire",0,--
3128,6042,Neil Hawke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,27.0,365.0,Right Handed Bat,"Jun 27, 1939|Cheltenham, Adelaide, South Australia",Right-arm fast-medium,--
1572,4357,Gobo Ashley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Right Handed Bat,"Feb 10, 1862|Mowbray, Cape Colony",Left-arm medium,--
1180,3725,Aamer Nazir,0.0,0.0,9.0,9.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,6.0,31.0,Right Handed Bat,"Jan 02, 1971|Lahore, Punjab",Right-arm fast-medium,--
257,509,Johan van der Wath,0.0,0.0,37.0,10.0,89.0,0.0,0.0,21.0,8.0,46.0,0.0,0.0,0.0,0.0,0.0,Right Handed Bat,"Jan 10, 1978|Newcastle, Natal",Right-arm fast-medium,Batting Allrounder
4048,11342,Tanveer Ahmed,0.0,0.0,2.0,6.0,4.0,0.0,0.0,7.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,Right Handed Bat,"Sep 18, 1997|Pakistan",Right-arm fast-medium,Bowler
1394,4039,Evan Gray,0.0,0.0,38.0,10.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,10.0,248.0,Right Handed Bat,"Nov 18, 1954|Wellington",Left-arm orthodox,--
1568,4353,Fred Smith,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,45.0,Right Handed Bat,"Mar 31, 1861|Uitenhage, Cape Province",0,--
114,203,Michael Papps,0.0,2.0,92.0,6.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,86.0,8.0,246.0,Right Handed Bat,"Jul 02, 1979|Christchurch, Canterbury",0,Batsman
3534,7909,Mohammed Shami,0.0,0.0,25.0,63.0,131.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,51.0,40.0,433.0,Right Handed Bat,"Sep 03, 1990|Jonagar, Bengal",Right-arm fast-medium,Bowler
569,1427,Oronde Bascome,0.0,0.0,20.0,6.0,65.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,Right Handed Bat,"Mar 08, 1988|Bermuda",Right-arm medium,Bowler
