id,_id,full_name,bat_odis_100,bat_odis_50,bat_odis_hs,bat_odis_mat,bat_odis_runs,bat_t20is_100,bat_t20is_50,bat_t20is_hs,bat_t20is_mat,bat_t20is_runs,bat_tests_100,bat_tests_50,bat_tests_hs,bat_tests_mat,bat_tests_runs,batting_style,born,bowling_style,playing_role
625,12504,Harry Elliott,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,4.0,61.0,Right-hand bat,"November 2, 1891, Scarcliffe, Derbyshire",0,
159,5611,Neil James Napier Hawke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,27.0,365.0,Right-hand bat,"June 27, 1939, Cheltenham, Adelaide, South Australia",Right-arm medium-fast,
2256,43938,William Hare Ashley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Right-hand bat,"February 10, 1862, Mowbray, Cape Colony",Left-arm medium,
1976,38966,Aamer Nazir,0.0,0.0,9.0,9.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,6.0,31.0,Right-hand bat,"January 2, 1971, Lahore, Punjab",Right-arm fast-medium,
2578,47693,Johannes Jacobus van der Wath,0.0,0.0,37.0,10.0,89.0,0.0,0.0,21.0,8.0,46.0,0.0,0.0,0.0,0.0,0.0,Right-hand bat,"January 10, 1978, Newcastle, Natal",Right-arm medium-fast,Allrounder
5441,919549,Tanveer Ahmed,0.0,0.0,2.0,6.0,4.0,0.0,0.0,7.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,Right-hand bat,"September 18, 1997, Pakistan",Right-arm medium-fast,Bowler
1776,37103,Evan John Gray,0.0,0.0,38.0,10.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,10.0,248.0,Right-hand bat,"November 18, 1954, Wellington",Slow left-arm orthodox,
2534,47206,Frederick William Smith,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,45.0,Right-hand bat,"March 31, 1861, Uitenhage, Cape Province",0,
1874,38111,Michael Hugh William Papps,0.0,2.0,92.0,6.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,86.0,8.0,246.0,Right-hand bat,"July 2, 1979, Christchurch, Canterbury",0,Opening batsman
5071,481896,Mohammed Shami Ahmed,0.0,0.0,25.0,63.0,131.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,51.0,40.0,433.0,Right-hand bat,"September 3, 1990, Amroha, Uttar Pradesh",Right-arm fast-medium,Bowler
4503,279531,Oronde Omari Bascome,0.0,0.0,20.0,6.0,65.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,Right-hand bat,"March 8, 1988, Bermuda",Right-arm medium,Batsman
942,19374,Steven John Rhodes,0.0,1.0,56.0,9.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,65.0,11.0,294.0,Right-hand bat,"June 17, 1964, Dirk Hill, Bradford, Yorkshire",0,
1360,25872,Charles Anthony Reid,0.0,0.0,6.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Right-hand bat,"April 9, 1962, Barbados, West Indies",Right-arm medium,
2508,46980,Alfred Renfrew Richards,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,6.0,Right-hand bat,"December 14, 1867, Grahamstown, Cape Colony",0,
