id,title,authors,venue,year
1225,secure buffering in firm real-time database systems,"binto george , jayant r. haritsa",the vldb journal -- the international journal on very large data bases,2000
749,cluster validity methods : part i,"maria halkidi , yannis batistakis , michalis vazirgiannis",acm sigmod record,2002
1957,fundamental techniques for order optimization,"david simmen , eugene shekita , timothy malkemus",international conference on management of data,1996
1307,observations on the odmg-93 proposal for an object-oriented database language,won kim,acm sigmod record,1994
1205,index nesting - an efficient approach to indexing in object-oriented databases,"beng chin ooi , jiawei han , hongjun lu , kian lee tan",the vldb journal -- the international journal on very large data bases,1996
679,"hierarchical subspace sampling : a unified framework for high dimensional data reduction , selectivity estimation and nearest neighbor search",charu c. aggarwal,international conference on management of data,2002
991,a database system for real-time event aggregation in telecommunication,"jerry baulier , stephen blott , henry f. korth , abraham silberschatz",very large data bases,1998
591,index configuration in object-oriented databases,elisa bertino,the vldb journal -- the international journal on very large data bases,1994
2227,semantic integration in heterogeneous databases using neural networks,"wen-syan li , chris clifton",very large data bases,1994
590,the demarcation protocol : a technique for maintaining constraints in distributed database systems,"daniel barbar &#225; - mill &#225; , hector garcia-molina",the vldb journal -- the international journal on very large data bases,1994
1341,navigating large-scale semi-structured data in business portals,"man abrol , neil latarche , uma mahadevan , jianchang mao , rajat mukherjee , prabhakar raghavan , michel tourn , john wang , grace zhang",very large data bases,2001
1074,efficient user-adaptable similarity search in large multimedia databases,"thomas seidl , hans-peter kriegel",very large data bases,1997
262,on supporting containment queries in relational database management systems,"chun zhang , jeffrey naughton , david dewitt , qiong luo , guy lohman",international conference on management of data,2001
2244,the piazza peer data management project,"igor tatarinov , zachary ives , jayant madhavan , alon halevy , dan suciu , nilesh dalvi , xin ( luna ) dong , yana kadiyska , gerome miklau , peter mork",acm sigmod record,2003
873,automated selection of materialized views and indexes in sql databases,"sanjay agrawal , surajit chaudhuri , vivek r. narasayya",very large data bases,2000
1629,the montage extensible datablade architecture,michael ubell,international conference on management of data,1994
819,networked data management design points,james r. hamilton,very large data bases,1999
807,dynamic load balancing for parallel association rule mining on heterogenous pc cluster systems,"masahisa tamura , masaru kitsuregawa",very large data bases,1999
1647,partition selection policies in object database garbage collection,"jonathan e. cook , alexander l. wolf , benjamin g. zorn",international conference on management of data,1994
2129,book reviews,0,acm sigmod record,2003
1787,query unnesting in object-oriented databases,leonidas fegaras,international conference on management of data,1998
1880,"lh * - a scalable , distributed data structure","witold litwin , marie-anna neimat , donovan a. schneider",acm transactions on database systems ( tods ),1996
1667,the ores temporal database management system,"babis theodoulidis , aziz ait-braham , george andrianopoulos , jayant chaudhary , george karvelis , simon sou",international conference on management of data,1994
1742,aries/csa : a method for database recovery in client-server architectures,"c. mohan , inderpal narang",international conference on management of data,1994
778,binding propagation in disjunctive databases,sergio greco,very large data bases,1998
1046,querying multiple features of groups in relational databases,"damianos chatziantoniou , kenneth a. ross",very large data bases,1996
835,finding intensional knowledge of distance-based outliers,"edwin m. knorr , raymond t. ng",very large data bases,1999
1531,infoharness : a system for search and retrieval of heterogeneous information,"leon shklar , amit sheth , vipul kashyap , satish thatte",international conference on management of data,1995
48,storing semistructured data with stored,"alin deutsch , mary fernandez , dan suciu",international conference on management of data,1999
531,sql/xml is making good progress,"andrew eisenberg , jim melton",acm sigmod record,2002
400,disima : a distributed and interoperable image database system,"vincent oria , m. tamer &#214; zsu , paul j. iglinski , shu lin , bin yao",international conference on management of data,2000
704,hd-eye : visual clustering of high dimensional data,"alexander hinneburg , daniel a. keim , markus wawryniuk",international conference on management of data,2002
1915,converting relational to object-oriented databases,joseph fong,acm sigmod record,1997
1579,an annotated bibliography of benchmarks for object databases,akmal b. chaudhri,acm sigmod record,1995
1216,guest editorial,"paolo atzeni , alberto o. mendelzon",the vldb journal -- the international journal on very large data bases,2000
306,"a robust , optimization-based approach for approximate answering of aggregate queries","surajit chaudhuri , gautam das , vivek narasayya",international conference on management of data,2001
445,efficient and cost-effective techniques for browsing and indexing large video databases,"junghwan oh , kien a. hua",international conference on management of data,2000
942,fast computation of sparse datacubes,"kenneth a. ross , divesh srivastava",very large data bases,1997
1381,"social , educational , and governmental change enabled through information technology","krithi ramamritham , yeha el atfi , carlo batini , michael eitan , valerie gregg , d. b. phatak",very large data bases,2000
1313,a fast index for semistructured data,"brian cooper , neal sample , michael j. franklin , gisli r. hjaltason , moshe shadmon",very large data bases,2001
2015,transparent mid-tier database caching in sql server,"per - &#197; ke larson , jonathan goldstein , jingren zhou",international conference on management of data,2003
1114,promises and realities of active database systems,"eric simon , angelika kotz dittrich",very large data bases,1995
1616,coss : the common object services specifications,bruce e. martin,international conference on management of data,1994
2126,research issues for data communication in mobile ad-hoc network database systems,"leslie d. fife , le gruenwald",acm sigmod record,2003
397,anatomy of a real e-commerce system,anant jhingran,international conference on management of data,2000
1666,ptool : a scalable persistent object manager,"r. l. grossman , x. qin",international conference on management of data,1994
1031,multiple-view self-maintenance in data warehousing environments,nam huyn,very large data bases,1997
902,a graphical query language for mobile information systems,ya-hui chang,acm sigmod record,2003
943,merging ranks from heterogeneous internet sources,"luis gravano , hector garcia-molina",very large data bases,1997
1983,static detection of security flaws in object-oriented databases,keishi tajima,international conference on management of data,1996
1195,query processing and optimization in oracle rdb,"gennady antoshenkov , mohamed ziauddin",the vldb journal -- the international journal on very large data bases,1996
1376,integrating the ub-tree into a database system kernel,"frank ramsak , volker markl , robert fenk , martin zirkel , klaus elhardt , rudolf bayer",very large data bases,2000
1777,dimensionality reduction for similarity searching in dynamic databases,"k. v. ravi kanth , divyakant agrawal , ambuj singh",international conference on management of data,1998
118,semantic interoperability in global information systems,"a. m. ouksel , a. sheth",acm sigmod record,1999
1976,structures for manipulating proposed updates in object-oriented databases,"michael doherty , richard hull , mohammed rupawalla",international conference on management of data,1996
762,tutorial : application servers and associated technologies,c. mohan,international conference on management of data,2002
1088,sampling large databases for association rules,hannu toivonen,very large data bases,1996
1254,opt + + : an object-oriented implementation for extensible database query optimization,"navin kabra , david j. dewitt",the vldb journal -- the international journal on very large data bases,1999
