id,publisher,title,author,year,ENTRYTYPE,journal,number,volume,pages,booktitle
650,0,Top-k query evaluation in sensor networks under query response time constraint,Weifa Liang and Baichen Chen and Jeffrey Xu Yu,2011,article,Inf. Sci.,4,181,869--882,0
1139,0,Surveillance of Parimutuel Wagering Integrity Using Expert Systems and Machine Learning,Roy S. Freedman and Isidore Sobkowski,2010,inproceedings,0,0,0,0,"Proceedings of the Twenty-Second Conference on Innovative Applications of Artificial Intelligence, July 11-15, 2010, Atlanta, Georgia, {USA}"
2263,0,On the Convergence of Stochastic Iterative Dynamic Programming Algorithms,Tommi S. Jaakkola and Michael I. Jordan and Satinder P. Singh,1994,article,Neural Computation,6,6,1185--1201,0
650,0,Top-k query evaluation in sensor networks under query response time constraint,Weifa Liang and Baichen Chen and Jeffrey Xu Yu,2011,article,Inf. Sci.,4,181,869--882,0
181,0,Hash in Place with Memory Shifting: Datacube Computation Revisited,Jeffrey Xu Yu and Hongjun Lu,1999,inproceedings,0,0,0,254,"Proceedings of the 15th International Conference on Data Engineering, Sydney, Austrialia, March 23-26, 1999"
178,0,Algebraic equivalences of nested relational operators,Hong{-}Cheu Liu and Jeffrey Xu Yu,2005,article,Inf. Syst.,3,30,167--204,0
1790,0,Classification of Poincar{\'{e}} plots for temporal series of heart rate variability by using machine learning techniques,Andr{\'{e}} Ricardo Gon{\c{c}}alves and Maria Angelica de Oliveira Camargo{-}Brunetto,2010,inproceedings,0,0,0,432--438,"10th International Conference on Intelligent Systems Design and Applications, {ISDA} 2010, November 29 - December 1, 2010, Cairo, Egypt"
2769,0,Fast Similarity Search in Three-Dimensional Structure Databases,Xiong Wang and Jason Tsong{-}Li Wang,2000,article,Journal of Chemical Information and Computer Sciences,2,40,442--451,0
919,0,A comparative study of machine learning methods for authorship attribution,Matthew L. Jockers and Daniela M. Witten,2010,article,LLC,2,25,215--223,0
233,0,Revisiting answering tree pattern queries using views,Junhu Wang and Jeffrey Xu Yu,2012,article,{ACM} Trans. Database Syst.,3,37,18,0
2179,0,Stable Algorithms for Link Analysis,Alice X. Zheng and Andrew Y. Ng and Michael I. Jordan,2001,inproceedings,0,0,0,258--266,"{SIGIR} 2001: Proceedings of the 24th Annual International {ACM} {SIGIR} Conference on Research and Development in Information Retrieval, September 9-13, 2001, New Orleans, Louisiana, {USA}"
2064,0,Joint covariate selection and joint subspace selection for multiple classification problems,Guillaume Obozinski and Ben Taskar and Michael I. Jordan,2010,article,Statistics and Computing,2,20,231--252,0
2350,0,The Construction and Assessment of a Statistical Model for the Prediction of Protein Assay Data,Jennifer Pittman and Jerome Sacks and S. Stanley Young,2002,article,Journal of Chemical Information and Computer Sciences,3,42,729--741,0
2465,0,Comparison of Cloud database: Amazon's SimpleDB and Google's Bigtable,Shalini Ramanathan and Savita Goel and Subramanian Alagumalai,2011,inproceedings,0,0,0,165--168,"International Conference on Recent Trends in Information Systems, ReTIS 2011, December 21-23, 2011, Jadavpur University, Kolkata, India, Proceedings"
244,0,Discriminative Category Matching: Efficient Text Classification for Huge Document Collections,Gabriel Pui Cheong Fung and Jeffrey Xu Yu and Hongjun Lu,2002,inproceedings,0,0,0,187--194,"Proceedings of the 2002 {IEEE} International Conference on Data Mining {(ICDM} 2002), 9-12 December 2002, Maebashi City, Japan"
2302,0,Mean Field Theory for Sigmoid Belief Networks,Lawrence K. Saul and Tommi S. Jaakkola and Michael I. Jordan,1996,article,J. Artif. Intell. Res. {(JAIR)},0,4,61--76,0
1099,0,A production inventory model with fuzzy coefficients using parametric geometric programming approach,G. S. Mahapatra and T. K. Mandal and G. P. Samanta,2011,article,Int. J. Machine Learning {\&} Cybernetics,2,2,99--105,0
2095,0,An Introduction to Variational Methods for Graphical Models,Michael I. Jordan and Zoubin Ghahramani and Tommi S. Jaakkola and Lawrence K. Saul,1999,article,Machine Learning,2,37,183--233,0
709,0,Stock prediction: an event-driven approach based on bursty keywords,Di Wu and Gabriel Pui Cheong Fung and Jeffrey Xu Yu and Qi Pan,2009,article,Frontiers of Computer Science in China,2,3,145--157,0
2111,0,Sharing Clusters among Related Groups: Hierarchical Dirichlet Processes,Yee Whye Teh and Michael I. Jordan and Matthew J. Beal and David M. Blei,2004,inproceedings,0,0,0,1385--1392,"Advances in Neural Information Processing Systems 17 [Neural Information Processing Systems, {NIPS} 2004, December 13-18, 2004, Vancouver, British Columbia, Canada]"
2491,0,Frequent Set,0,2010,incollection,0,0,0,423,Encyclopedia of Machine Learning
2191,0,Hierarchical Topic Models and the Nested Chinese Restaurant Process,David M. Blei and Thomas L. Griffiths and Michael I. Jordan and Joshua B. Tenenbaum,2003,inproceedings,0,0,0,17--24,"Advances in Neural Information Processing Systems 16 [Neural Information Processing Systems, {NIPS} 2003, December 8-13, 2003, Vancouver and Whistler, British Columbia, Canada]"
2124,0,Learning to Control an Unstable System with Forward Modeling,Michael I. Jordan and Robert A. Jacobs,1989,inproceedings,0,0,0,324--331,"Advances in Neural Information Processing Systems 2, {[NIPS} Conference, Denver, Colorado, USA, November 27-30, 1989]"
1013,0,A New Reduced Rank Square Root Kalman Filter for Data Assimilation in Mathematical Models,Dimitri Treebushny and Henrik Madsen,2003,inproceedings,0,0,0,482--491,"Computational Science - {ICCS} 2003, International Conference, Melbourne, Australia and St. Petersburg, Russia, June 2-4, 2003. Proceedings, Part {I}"
2147,0,A latent variable model for chemogenomic profiling,Patrick Flaherty and Guri Giaever and Jochen Kumm and Michael I. Jordan and Adam P. Arkin,2005,article,Bioinformatics,15,21,3286--3293,0
158,0,"On Safety, Computability and Local Property of Web Queries",Hong{-}Cheu Liu and Jeffrey Xu Yu,2008,inproceedings,0,0,0,251--262,"Progress in {WWW} Research and Development, 10th Asia-Pacific Web Conference, APWeb 2008, Shenyang, China, April 26-28, 2008. Proceedings"
213,0,Answering Frequent Probabilistic Inference Queries in Databases,Shaoxu Song and Lei Chen and Jeffrey Xu Yu,2011,article,{IEEE} Trans. Knowl. Data Eng.,4,23,512--526,0
696,0,Computing structural statistics by keywords in databases,Lu Qin and Jeffrey Xu Yu and Lijun Chang,2011,inproceedings,0,0,0,363--374,"Proceedings of the 27th International Conference on Data Engineering, {ICDE} 2011, April 11-16, 2011, Hannover, Germany"
796,0,Support vector machines for analog circuit performance representation,Fernando De Bernardinis and Michael I. Jordan and Alberto L. Sangiovanni{-}Vincentelli,2003,inproceedings,0,0,0,964--969,"Proceedings of the 40th Design Automation Conference, {DAC} 2003, Anaheim, CA, USA, June 2-6, 2003"
187,0,Spotting Significant Changing Subgraphs in Evolving Graphs,Zheng Liu and Jeffrey Xu Yu and Yiping Ke and Xuemin Lin and Lei Chen,2008,inproceedings,0,0,0,917--922,"Proceedings of the 8th {IEEE} International Conference on Data Mining {(ICDM} 2008), December 15-19, 2008, Pisa, Italy"
2137,0,Solving Consensus and Semi-supervised Clustering Problems Using Nonnegative Matrix Factorization,Tao Li and Chris H. Q. Ding and Michael I. Jordan,2007,inproceedings,0,0,0,577--582,"Proceedings of the 7th {IEEE} International Conference on Data Mining {(ICDM} 2007), October 28-31, 2007, Omaha, Nebraska, {USA}"
625,0,Is Frequency Enough for Decision Makers to Make Decisions?,Shichao Zhang and Jeffrey Xu Yu and Jingli Lu and Chengqi Zhang,2006,inproceedings,0,0,0,499--503,"Advances in Knowledge Discovery and Data Mining, 10th Pacific-Asia Conference, {PAKDD} 2006, Singapore, April 9-12, 2006, Proceedings"
794,0,On the accuracy of self-normalized log-linear models,Jacob Andreas and Maxim Rabinovich and Dan Klein and Michael I. Jordan,2015,article,CoRR,0,abs/1506.04147,0,0
2365,0,Applying a Metadata Framework to Improve Data Quality,Victoria Y. Yoon and Peter Aiken and Tor Guimaraes,2005,incollection,0,0,0,146--151,Encyclopedia of Information Science and Technology {(5} Volumes)
713,0,Guest editorial: web information technologies,Xuemin Lin and Jeffrey Xu Yu,2015,article,World Wide Web,5,18,1199--1200,0
213,0,Answering Frequent Probabilistic Inference Queries in Databases,Shaoxu Song and Lei Chen and Jeffrey Xu Yu,2011,article,{IEEE} Trans. Knowl. Data Eng.,4,23,512--526,0
213,0,Answering Frequent Probabilistic Inference Queries in Databases,Shaoxu Song and Lei Chen and Jeffrey Xu Yu,2011,article,{IEEE} Trans. Knowl. Data Eng.,4,23,512--526,0
1916,0,Divide-and-conquer and statistical inference for big data,Michael I. Jordan,2012,inproceedings,0,0,0,4,"The 18th {ACM} {SIGKDD} International Conference on Knowledge Discovery and Data Mining, {KDD} '12, Beijing, China, August 12-16, 2012"
292,0,Finding maximal k-edge-connected subgraphs from a large graph,Rui Zhou and Chengfei Liu and Jeffrey Xu Yu and Weifa Liang and Baichen Chen and Jianxin Li,2012,inproceedings,0,0,0,480--491,"15th International Conference on Extending Database Technology, {EDBT} '12, Berlin, Germany, March 27-30, 2012, Proceedings"
258,0,M+-tree : {A} New Dynamical Multidimensional Index for Metric Spaces,Xiangmin Zhou and Guoren Wang and Jeffrey Xu Yu and Ge Yu,2003,inproceedings,0,0,0,161--168,"Database Technologies 2003, Proceedings of the 14th Australasian Database Conference, {ADC} 2003, Adelaide, South Australia, February 2003"
2099,0,Latent Variable Models for Dimensionality Reduction,Zhihua Zhang and Michael I. Jordan,2009,inproceedings,0,0,0,655--662,"Proceedings of the Twelfth International Conference on Artificial Intelligence and Statistics, {AISTATS} 2009, Clearwater Beach, Florida, USA, April 16-18, 2009"
2342,0,Combinatorial stochastic processes and nonparametric Bayesian modeling,Michael I. Jordan,2009,inproceedings,0,0,0,139,"Proceedings of the Twentieth Annual {ACM-SIAM} Symposium on Discrete Algorithms, {SODA} 2009, New York, NY, USA, January 4-6, 2009"
2482,0,Operation of an international data center: Canadian Scientific Numeric Database Service,Gordon H. Wood and John R. Rodgers and S. Roger Gough,1993,article,Journal of Chemical Information and Computer Sciences,1,33,31--35,0
2240,0,Learning graphical models for stationary time series,Francis R. Bach and Michael I. Jordan,2004,article,{IEEE} Transactions on Signal Processing,8,52,2189--2199,0
2611,JMLR.org,"Proceedings of the 2nd Asian Conference on Machine Learning, {ACML} 2010, Tokyo, Japan, November 8-10, 2010",0,2010,proceedings,0,0,13,0,0
2101,0,Computing Upper and Lower Bounds on Likelihoods in Intractable Networks,Tommi S. Jaakkola and Michael I. Jordan,2013,article,CoRR,0,abs/1302.3586,0,0
279,0,Efficient processing of label-constraint reachability queries in large graphs,Lei Zou and Kun Xu and Jeffrey Xu Yu and Lei Chen and Yanghua Xiao and Dongyan Zhao,2014,article,Inf. Syst.,0,40,47--66,0
602,0,Repairing Vertex Labels under Neighborhood Constraints,Shaoxu Song and Hong Cheng and Jeffrey Xu Yu and Lei Chen,2014,article,PVLDB,11,7,987--998,0
2219,0,On the Consistency of Ranking Algorithms,John C. Duchi and Lester W. Mackey and Michael I. Jordan,2010,inproceedings,0,0,0,327--334,"Proceedings of the 27th International Conference on Machine Learning (ICML-10), June 21-24, 2010, Haifa, Israel"
474,0,A zero-watermarking image authentication scheme using Zernike moment and extreme learning machine,Guangyong Gao and Guoping Jiang,2011,inproceedings,0,0,0,1--5,"2011 International Conference on Wireless Communications {\&} Signal Processing, {WCSP} 2011, Nanjing, China, November 9-11, 2011"
2316,0,A permutation-augmented sampler for {DP} mixture models,Percy Liang and Michael I. Jordan and Benjamin Taskar,2007,inproceedings,0,0,0,545--552,"Machine Learning, Proceedings of the Twenty-Fourth International Conference {(ICML} 2007), Corvallis, Oregon, USA, June 20-24, 2007"
1718,0,Extraction of Logical Rules from Data by Means of Piecewise-Linear Neural Networks,Martin Holena,2002,inproceedings,0,0,0,192--205,"Discovery Science, 5th International Conference, {DS} 2002, L{\{u}}beck, Germany, November 24-26, 2002, Proceedings"
1893,0,An integrated web resource for crystallography,Brian McMahon,2002,article,Data Science Journal,1,1,54--67,0
2449,0,Modeling of numerical atomic electron density data with analytical functions,Mark D. Jackson,1993,article,Journal of Chemical Information and Computer Sciences,3,33,453--457,0
