id,publisher,isbn,title,series,author,year,ENTRYTYPE,journal,number,volume,link,pages,booktitle,crossref
1,Prentice Hall,978-0-7248-0301-9,Data abstraction and program development using Pascal,Prentice Hall advances in computer science series,Reinhold F. Hille,1988,book,0,0,0,0,0,0,
2,0,0,"Using Global Optimization for a Microparticle Identification Problem with Noisy Data",0,"Mike C. Bartholomew{-}Biggs and Z. J. Ulanowski and S. Zakovic",2005,article,J. Global Optimization,3,32,http://dx.doi.org/10.1007/s10898-004-1943-0,325--347,0,
3,0,0,Samuel's Checkers Player,0,0,2010,incollection,0,0,0,http://dx.doi.org/10.1007/978-0-387-30164-8_740,881,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
4,0,0,Hyperlinks as a data source for science mapping,0,"Gareth Harries and David Wilkinson and Liz Price and Ruth Fairclough and Mike Thelwall",2004,article,J. Information Science,5,30,http://dx.doi.org/10.1177/0165551504046736,436--447,0,
5,0,0,Improving rule processing in Postgres database management system,0,Kejongsok Kim,1991,inproceedings,0,0,0,http://doi.acm.org/10.1145/327164.328644,506--514,"Proceedings of the 19th annual conference on Computer Science, {CSC} '91, San Antonio, Texas, USA, March 4-7, 1991",DBLP:conf/acm/1991
6,0,0,VisBench: {A} Framework for Remote Data Visualization and Analysis,0,"Randy W. Heiland and M. Pauline Baker and Danesh K. Tafti",2001,inproceedings,0,0,0,http:// dx.doi.org/10.1007/3-540-45718-6_77,718--727,"Computational Science - {ICCS} 2001, International Conference, San Francisco, CA, USA, May 28-30, 2001. Proceedings, Part {II}",DBLP:conf/iccS/2001-2
7,0,0,The life sciences Global Image Database {(GID)},0,"Eduardo Gonzalez{-}Couto and Brian Hayes and Anne Danckaert",2001,article,Nucleic Acids Research,1,29,http://dx.doi.org/10.1093/nar/29.1.336,336--339,0,
8,0,0,Quality Threshold Clustering,0,"Xin Jin and Jiawei Han",2010,incollection,0,0,0,http://dx.doi.org/10.1007/978-0-387-30164-8_686,820,Encyclopedia of Machine Learning,DBLP:reference/ml/2010
9,0,0,"CoGenT++: an extensive and extensible data environment for computational genomics",0,"Leon Goldovsky and Paul Janssen and Dag G. Ahr{\'{e}}n and Benjamin Audit and Ildefonso Cases and Nikos Darzentas and Anton J. Enright and N{\'{u}}ria L{\'{o}}pez{-}Bigas and Jos{\'{e}} M. Peregr{\'{\i}}n{-}Alvarez and Mike Smith and Sophia Tsoka and Victor Kunin and Christos A. Ouzounis",2005,article,Bioinformatics,19,21,http://dx.doi.org/10.1093/bioinformatics/bti579,3806--3810,0,
10,Prentice Hall,978-0-13-327099-0,Foundations of semantic databases,Prentice Hall international series in computer science,Bert O. de Brock,1995,book,0,0,0,0,0,0,
11,0,0,"Using Artificial Intelligence Planning to Automate Science Data Analysis for Large Image Databases",0,"Steve A. Chien and Forest Fisher and Helen Mortensen and Edisanter Lo and Ronald Greeley",1997,inproceedings,0,0,0,http://www.aaai.org/Library/KDD/1997/kdd97-026.php,147--150,"Proceedings of the Third International Conference on Knowledge Discovery and Data Mining (KDD-97), Newport Beach, California, USA, August 14-17, 1997",DBLP:conf/kdd/1997
12,Springer,3-540-25334-3,"Database Systems for Advanced Applications, 10th International Conference, {DASFAA} 2005, Beijing, China, April 17-20, 2005, Proceedings",Lecture Notes in Computer Science,0,2005,proceedings,0,0,3453,0,0,0,
13,0,0,"Games and machine learning: a powerful combination in an artificial intelligence course",0,"Scott A. Wallace and Robert McCartney and Ingrid Russell",2010,article,Computer Science Education,1,20,http://dx.doi.org/10.1080/08993400903525099,17--36,0,
14,0,0,"Variability of Molecular Descriptors in Compound Databases Revealed by Shannon Entropy Calculations",0,"Jeffrey W. Godden and Florence L. Stahura and J{\""{u}}rgen Bajorath",2000,article,Journal of Chemical Information and Computer Sciences,3,40,http://dx.doi.org/10.1021/ci000321u,796--800,0,
15,0,0,A Framework for the Evaluation of Chemical Structure Databases,0,"Frank Cooke and Helen Schofield",2001,article,Journal of Chemical Information and Computer Sciences,5,41,http://dx.doi.org/10.1021/ci010360l,1131--1140,0,
16,0,0,Ontology-based exchange of product data semantics,0,"Lalit Patil and Debasish Dutta and Ram D. Sriram",2005,article,{IEEE} T. Automation Science and Engineering,3,2,http://dx.doi.org/10.1109/TASE.2005.849087,213--225,0,
17,0,0,"e-Science Experiences: Software Engineering Practice and the {EU} DataGrid",0,"Lee Momtahan and Andrew Martin",2002,inproceedings,0,0,0,http://dx.doi.org/10.1109/APSEC.2002.1182996,269--275,"9th Asia-Pacific Software Engineering Conference {(APSEC} 2002), 4-6 December 2002, Gold Coast, Queensland, Australia",DBLP:conf/apsec/2002
18,0,0,Fast-Ensembles of Minimum Redundancy Feature Selection,0,"Benjamin Schowe and Katharina Morik",2011,incollection,0,0,0,http://dx.doi.org/10.1007/978-3-642-22910-7_5,75--95,Ensembles in Machine Learning Applications,DBLP:series/sci/2011-373
19,0,0,"Design and Implementation of a Context-Aware Guide Application for Mobile Users Based on Machine Learning",0,"Yuichi Omori and Yuki Nonaka and Mikio Hasegawa",2010,inproceedings,0,0,0,http://dx.doi.org/10.1007/978-3-642-15384-6_29,271--279,"Knowledge-Based and Intelligent Information and Engineering Systems - 14th International Conference, {KES} 2010, Cardiff, UK, September 8-10, 2010, Proceedings, Part {IV}",DBLP:conf/kes/2010-4
20,0,0,"Automatic diagnosis of vocal fold paresis by employing phonovibrogram features and machine learning methods",0,"Daniel Voigt and Michael D{\""{o}}llinger and Anxiong Yang and Ulrich Eysholdt and J{\""{o}}rg Lohscheller",2010,article,Computer Methods and Programs in Biomedicine,3,99,http://dx.doi.org/10.1016/j.cmpb.2010.01.004,275--288,0,
21,0,0,"{CADIS} (abstract only): a kernel approach toward the development of intelleigent data management support for computer-aided design systems",0,Dorothy Landis,1985,inproceedings,0,0,0,http://doi.acm.org/10.1145/320599.322465,421,"Proceedings of the 13th {ACM} Annual Conference on Computer Science, New Orleans, Louisiana, USA, 1985",DBLP:conf/acm/1985
22,0,0,A multimedia semantic analysis SoC (SASoC) with machine-learning engine,0,"Tse{-}Wei Chen and Yi{-}Ling Chen and Teng{-}Yuan Cheng and Chi{-}Sun Tang and Pei{-}Kuei Tsung and Tzu{-}Der Chuang and Liang{-}Gee Chen and Shao{-}Yi Chien",2010,inproceedings,0,0,0,http://dx.doi.org/10.1109/ISSCC.2010.5433887,338--339,"{IEEE} International Solid-State Circuits Conference, {ISSCC} 2010, Digest of Technical Papers, San Francisco, CA, USA, 7-11 February, 2010",DBLP:conf/isscc/2010
23,0,0,Mining frequent closed rooted trees,0,"Jos{\'{e}} L. Balc{\'{a}}zar and Albert Bifet and Antoni Lozano",2010,article,Machine Learning,01-Feb,78,http://dx.doi.org/10.1007/s10994-009-5123-9,1--33,0,
24,0,0,"Supervised Machine Learning Applied to Link Prediction in Bipartite Social Networks",0,"Nesserine Benchettara and Rushed Kanawati and C{\'{e}}line Rouveirol",2010,inproceedings,0,0,0,http://doi.ieeecomputersociety.org/10.1109/ASONAM.2010.87,326--330,"International Conference on Advances in Social Networks Analysis and Mining, {ASONAM} 2010, Odense, Denmark, August 9-11, 2010",DBLP:conf/asunam/2010
25,0,0,"Deep Transfer Learning via Restricted Boltzmann Machine for Document Classification",0,Jian Zhang,2011,inproceedings,0,0,0,http://dx.doi.org/10.1109/ICMLA.2011.51,323--326,"10th International Conference on Machine Learning and Applications and Workshops, {ICMLA} 2011, Honolulu, Hawaii, USA, December 18-21, 2011. Volume 1: Main Conference",DBLP:conf/icmla/2011-1
26,0,0,"The Data of Levy and Levy {(2002)} ""Prospect Theory: Much Ado About Nothing?"" Actually Support Prospect Theory",0,Peter P. Wakker,2003,article,Management Science,7,49,http://dx.doi.org/10.1287/mnsc.49.7.979.16383,979--981,0,
27,0,0,Ontology-Based Categorization of Web Services with Machine Learning,0,"Adam Funk and Kalina Bontcheva",2010,inproceedings,0,0,0,http://www.lrec-conf.org/proceedings/lrec2010/summaries/170.html,0,"Proceedings of the International Conference on Language Resources and Evaluation, {LREC} 2010, 17-23 May 2010, Valletta, Malta",DBLP:conf/lrec/2010
28,0,0,{EFTA:} {A} Database Retrieval Algebra for Feature Terms,0,"Thomas Ludwig and Bernd Walter",1991,article,{IWBS} Report,0,150,0,0,0,
