id,label,left_title,left_authors,left_venue,left_year,right_title,right_authors,right_venue,right_year
0,0,web caching for database applications with oracle web cache,"jordan parker , jesse anton , zheng zeng , lawrence jacobs , tie zhong , xiang liu",SIGMOD,2002,form-based proxy caching for database-backed web sites,"qiong luo , jeffrey f. naughton",VLDB,2001
1,0,oracle industrial exhibit,amy pogue,VLDB,1998,objectivity industrial exhibit,objectivity,VLDB,1998
2,0,extracting large-scale knowledge bases from the web,"andrew tomkins , prabhakar raghavan , ravi kumar , sridhar rajagopalan",VLDB,1999,amalgamating knowledge bases,v. s. subrahmanian,ACM TODS,1994
3,1,efficient optimistic concurrency control using loosely synchronized clocks,"barbara liskov , atul adya , robert gruber , umesh maheshwari",SIGMOD,1995,efficient optimistic concurrency control using loosely synchronized clocks,"atul adya , robert gruber , barbara liskov , umesh maheshwari",SIGMOD,1995
4,0,odefs : a file system interface to an object-oriented database,"narain h. gehani , william d. roome , h. v. jagadish",VLDB,1994,unisql/x unified relational and object-oriented database system,won kim,SIGMOD,1994
5,1,emergent semantics and the multimedia semantic web,"william i. grosky , farshad fotouhi , d. v. sreenath",SIGMOD Rec.,2002,emergent semantics and the multimedia semantic web,"w. i. grosky , d. v. sreenath , f. fotouhi",SIGMOD Rec.,2002
6,0,dwms : data warehouse management system,narendra mohan,VLDB,1996,strudel : a web site management system,"mary fernandez , daniela florescu , jaewoo kang , alon levy , dan suciu",SIGMOD,1997
7,0,data mining techniques,jiawei han,SIGMOD,1996,data mining : concepts and techniques by jiawei han and micheline kamber,"fernando berzal , nicolf &#225; s mat &#237; n",SIGMOD Rec.,2002
8,0,qursed : querying and reporting semistructured data,"yannis papakonstantinou , michalis petropoulos , vasilis vassalos",SIGMOD,2002,extracting schema from semistructured data,"svetlozar nestorov , serge abiteboul , rajeev motwani",SIGMOD,1998
9,0,advances in databases and information systems ( adbis ),"albertas caplinskas , johann eder , olegas vasilecas",SIGMOD Rec.,2002,amicalola report : database and information systems research challenges and opportunities in semantic web and enterprises,"amit sheth , robert meersman",SIGMOD Rec.,2002
10,0,query unnesting in object-oriented databases,leonidas fegaras,SIGMOD,1998,"calibrating the query optimizer cost model of iro-db , an object-oriented federated database system","georges gardarin , fei sha , zhao-hui tang",VLDB,1996
11,1,data management for pervasive computing,"mitch cherniack , stanley b. zdonik , michael j. franklin",VLDB,2001,data management for pervasive computing,"mitch cherniack , michael j. franklin , stanley b. zdonik",VLDB,2001
12,0,secure transaction processing in firm real-time database systems,"binto george , jayant r. haritsa",SIGMOD,1997,databases and transaction processing : an application-oriented approach,"philip m. lewis , arthur bernstein , michael kifer",SIGMOD Rec.,2002
13,0,declarative updates of relational databases,weidong chen,ACM TODS,1995,enhanced abstract data types in object-relational databases,praveen seshadri,VLDBJ,1998
14,1,a taxonomy for secure object-oriented databases,"sebastiaan h. von solms , martin s. olivier",ACM TODS,1994,a taxonomy for secure object-oriented databases,"martin s. olivier , sebastiaan h. von solms",ACM TODS,1994
15,0,what is the data warehousing problem ? ( are materialized views the answer ? ),"inderpal singh mumick , ashish gupta",VLDB,1996,algorithms for materialized view design in data warehousing environment,"jian yang , kamalakar karlapalem , qing li",VLDB,1997
16,1,"enterprise objects framework , a second generation object-relational enabler",charly kleissner,SIGMOD,1995,enterprise objects framework : a second generation object-relational enabler,charly kleissner,SIGMOD,1995
17,0,effective timestamping in databases,"christian s. jensen , kristian torp , richard t. snodgrass",VLDBJ,2000,priority assignment in real-time active databases,"rajendran m. sivasankaran , john a. stankovic , don towsley , bhaskar purimetla , krithi ramamritham",VLDBJ,1996
18,0,lambda-db : an odmg-based object-oriented dbms,"arvind rajendran , david maier , leonidas fegaras , chandrasekhar srinivasan",SIGMOD,2000,odmg-93 : a standard for object-oriented dbmss,r. g. g. cattell,SIGMOD,1994
19,1,compressing sql workloads,"surajit chaudhuri , ashish kumar gupta , vivek r. narasayya",SIGMOD,2002,compressing sql workloads,"surajit chaudhuri , ashish kumar gupta , vivek narasayya",SIGMOD,2002
20,0,the algres testbed of chimera : an active object-oriented database system,"giuseppe psaila , stefano ceri , stefano paraboschi , piero fraternali",SIGMOD,1995,the trigs active object-oriented database system - an overview,"g. kappel , w. retschitzegger",SIGMOD Rec.,1998
21,1,on wrapping query languages and efficient xml integration,"jérôme siméon , vassilis christophides , sophie cluet",SIGMOD,2000,on wrapping query languages and efficient xml integration,"vassilis christophides , sophie cluet , j &#233; r &#466; me sim &#232; on",SIGMOD,2000
22,0,document management as a database problem,rudolf bayer,VLDB,1995,is web-site management a database problem ?,"daniela florescu , alon y. levy , dan suciu",VLDB,1998
23,0,index nesting - an efficient approach to indexing in object-oriented databases,"jiawei han , beng chin ooi , hongjun lu , kian-lee tan",VLDBJ,1996,converting relational to object-oriented databases,joseph fong,SIGMOD Rec.,1997
24,1,controlling data warehouses with knowledge networks,"jan-dirk becker , matthias jarke , andreas boehmer , elvira schaefer",VLDB,2000,controlling data warehouses with knowledge networks,"elvira schaefer , jan-dirk becker , andreas boehmer , matthias jarke",VLDB,2000
25,0,temporal database system implementations,michael h. böhlen,SIGMOD Rec.,1995,temporal conditions and integrity constraints in active database systems,"a. prasad sistla , ouri wolfson",SIGMOD,1995
26,1,ansi sql hierarchical processing can fully integrate native xml,michael m. david,SIGMOD Rec.,2003,ansi sql hierarchical processing can fully integrate native xml,michael m. david,SIGMOD Rec.,2003
27,1,warping indexes with envelope transforms for query by humming,"dennis shasha , yunyue zhu",SIGMOD,2003,warping indexes with envelope transforms for query by humming,"yunyue zhu , dennis shasha",SIGMOD,2003
28,0,reminiscences on influential papers,"theodore johnson , amr el abbadi , richard t. snodgrass , kenneth a. ross",SIGMOD Rec.,2002,influential papers,ken ross,SIGMOD Rec.,2002
29,0,database research at ut arlington,"sharma chakravarthy , y. alp aslandogan , ramez elmasri , leonidas fegaras , jung-hwan oh",SIGMOD Rec.,2003,database research at arizona state university,"susan d. urban , suzanne w. dietrich , forouzan golshani",SIGMOD Rec.,1996
30,0,lore : a database management system for semistructured data,"roy goldman , serge abiteboul , jennifer widom , dallan quass , jason mchugh",SIGMOD Rec.,1997,dwms : data warehouse management system,narendra mohan,VLDB,1996
31,0,discover : keyword search in relational databases,"vagelis hristidis , yannis papakonstantinou",VLDB,2002,converting relational to object-oriented databases,joseph fong,SIGMOD Rec.,1997
32,0,incremental computation and maintenance of temporal aggregates,"jun yang , jennifer widom",VLDBJ,2003,incremental maintenance of recursive views using relational calculus/sql,"guozhu dong , jianwen su",SIGMOD Rec.,2000
33,0,procedures in object-oriented query languages,"kazimierz subieta , jacek leszczylowski , yahiko kambayashi",VLDB,1995,an effective deductive object-oriented database through language integration,"maria l. barja , norman w. paton , alvaro a. a. fernandes , m. howard williams , andrew dinn",VLDB,1994
34,1,opossum : desk-top schema management through customizable visualization,"miron livny , eben m. haber , yannis e. ioannidis",VLDB,1995,opossum : desk-top schema management through customizable visualization,"eben m. haber , yannis e. ioannidis , miron livny",VLDB,1995
35,0,dms : a parallel data mining server,felicity a. w. george,VLDB,1998,scalable parallel data mining for association rules,"eui-hong han , george karypis , vipin kumar",SIGMOD,1997
36,1,naos - efficient and modular reactive capabilities in an object-oriented database system,"thierry coupaye , t. svensen , christine collet",VLDB,1994,naos - efficient and modular reactive capabilities in an object-oriented database system,"christine collet , thierry coupaye , t. svensen",VLDB,1994
37,0,user-adaptive exploration of multidimensional data,sunita sarawagi,VLDB,2000,a foundation for multi-dimensional databases,"marc gyssens , laks v. s. lakshmanan",VLDB,1997
38,1,"a query language for multidimensional arrays : design , implementation , and optimization techniques","limsoon wong , rona machlin , leonid libkin",SIGMOD,1996,"a query language for multidimensional arrays : design , implementation , and optimization techniques","leonid libkin , rona machlin , limsoon wong",SIGMOD,1996
39,1,comprehension syntax,"limsoon wong , dan suciu , val tannen , peter buneman , leonid libkin",SIGMOD Rec.,1994,comprehension syntax,"peter buneman , leonid libkin , dan suciu , val tannen , limsoon wong",SIGMOD Rec.,1994
40,0,buffering accesses to memory-resident index structures,"jingren zhou , kenneth a. ross",VLDB,2003,efficient index structures for string databases,"tamer kahveci , ambuj k. singh",VLDB,2001
41,0,secure transaction processing in firm real-time database systems,"binto george , jayant r. haritsa",SIGMOD,1997,revisiting commit processing in distributed database systems,"ramesh gupta , jayant haritsa , krithi ramamritham",SIGMOD,1997
