ltable_id,rtable_id,label
2675,1570,1
440,1008,1
2827,1773,1
2414,1120,1
1600,2355,1
1628,2608,1
3792,4967,1
1758,2294,1
2061,856,1
719,4689,1
978,4096,1
1850,65,1
762,4701,1
2790,1729,1
3393,4677,1
3272,2899,1
3398,1201,1
1375,1709,1
1885,167,1
2713,1484,1
223,4227,1
2386,957,1
1806,2308,1
724,2785,1
2405,600,1
2203,523,1
3617,5166,0
2003,938,1
2477,987,1
42,1394,1
3495,4613,1
1810,2522,1
3873,5356,1
1818,2398,1
2205,467,1
2896,2033,1
3594,4430,0
2909,2153,1
3772,4542,1
1337,1401,1
1130,2211,1
3949,5323,1
2258,571,1
532,1210,1
2908,2141,1
3505,4461,1
4032,5328,1
3060,123,1
1034,2660,1
2146,738,1
4019,5391,1
454,1191,1
2068,1130,1
2118,725,0
410,4265,1
799,1233,1
8,2192,1
368,538,1
2336,901,1
1770,2486,1
271,2016,1
2958,74,1
2170,836,1
3052,326,1
4076,5521,0
3153,125,1
1585,2365,1
2687,1472,1
1179,2025,1
4120,5262,1
421,2616,1
943,4043,1
2254,674,1
1229,1672,1
3189,2897,1
3910,5102,0
3615,4872,1
2903,2005,1
68,2231,1
2493,845,1
6,2121,1
693,4577,0
1559,3012,1
3302,2980,1
3537,2922,1
954,4063,1
3789,4926,0
3632,4231,1
2424,1125,1
3669,4760,1
275,4087,1
726,4632,1
1827,2384,1
2758,1784,1
3739,5170,1
505,4193,1
2650,1476,1
1203,2053,1
3542,4392,1
3749,5211,1
2725,2671,1
3602,1690,0
1808,2443,1
2090,493,1
2097,473,1
1583,2604,1
962,4050,1
831,4165,1
2305,568,1
2508,1064,1
2723,2612,1
3590,4350,1
3169,2865,1
1753,2387,1
2421,809,1
3585,1723,1
2983,319,1
417,4460,1
3906,4862,1
2032,839,1
3953,4604,1
2874,2106,1
3420,1325,1
3928,5217,1
1696,2302,1
650,4510,1
1374,1964,1
3814,4969,1
14,133,1
2107,588,1
236,2453,1
2062,1118,0
1838,288,1
3091,318,1
832,4221,1
2307,507,1
2698,1610,1
3311,3038,1
2577,1103,1
1077,2650,1
2808,1911,1
2719,1403,1
1581,2478,1
2991,408,1
561,2934,1
2039,709,1
2377,972,1
777,4652,1
2765,1718,1
1580,2449,1
296,1250,1
2245,490,1
714,775,1
57,4163,1
2243,1055,1
1927,25,1
2671,1497,1
713,648,1
547,4261,1
2012,742,1
289,4159,1
2540,621,1
2384,664,1
2883,2180,1
2781,1824,1
1861,402,1
2672,1644,0
2129,1028,1
388,714,1
990,4129,1
2841,1688,1
316,1800,1
2236,734,1
1251,1639,1
1672,2546,1
3822,2257,1
2894,2212,1
1286,1411,1
2098,519,1
1913,22,1
1367,1834,1
276,4355,1
2872,2054,1
416,1275,1
2019,1024,1
152,4059,1
1825,2347,1
1145,2241,1
1594,2528,1
74,174,1
1538,2898,1
1941,214,1
2953,286,1
2091,515,1
2058,703,1
3422,1340,1
1987,678,1
3956,4656,0
2971,137,1
1275,1554,1
1683,2530,1
1824,2421,1
282,2821,1
3412,2021,1
1109,2150,1
3541,4429,1
2486,634,1
1626,2304,1
865,4212,1
2945,304,1
1811,2437,1
2661,1382,1
658,501,1
234,823,1
18,1689,1
1044,2723,1
2121,778,1
427,2502,1
131,2943,1
1107,2237,1
81,148,1
3450,2875,1
536,4443,1
729,4399,1
3325,4454,1
