label,ltable_id,rtable_id
0,508,508
0,15900,15900
0,10197,10197
0,32225,32225
0,8319,8319
0,39477,39477
0,8367,8367
0,37296,37296
0,39977,39977
0,4185,4185
0,26348,26348
0,10630,10630
0,12391,12391
0,11267,11267
0,4325,4325
0,4243,4243
0,26653,26653
0,3174,3174
0,20719,20719
0,3658,3658
0,26997,26997
1,1193,1193
0,10380,10380
0,18236,18236
0,32318,32318
1,13129,13129
0,40533,40533
0,26175,26175
0,25280,25280
1,24945,24945
0,23929,23929
0,28017,28017
0,6470,6470
0,26955,26955
0,16311,16311
0,28360,28360
0,20011,20011
0,29560,29560
0,3717,3717
0,11613,11613
1,16722,16722
0,13343,13343
0,6712,6712
1,35760,35760
0,30387,30387
0,42715,42715
0,22956,22956
0,21409,21409
0,1650,1650
0,28625,28625
1,13609,13609
0,20610,20610
0,39547,39547
0,24527,24527
0,29910,29910
0,27332,27332
0,31036,31036
0,21591,21591
0,32779,32779
0,20223,20223
1,14570,14570
0,18064,18064
0,20272,20272
0,16184,16184
0,39659,39659
1,4907,4907
0,8212,8212
0,40252,40252
1,11586,11586
0,36814,36814
0,37457,37457
0,20314,20314
0,14730,14730
0,25767,25767
0,28907,28907
0,7878,7878
1,20978,20978
0,35784,35784
1,34331,34331
0,19503,19503
0,38332,38332
1,41252,41252
0,27209,27209
0,3486,3486
0,31985,31985
0,28583,28583
1,8584,8584
0,25142,25142
0,33123,33123
0,10052,10052
0,27140,27140
0,8668,8668
0,2556,2556
0,2467,2467
0,14673,14673
0,37517,37517
0,6787,6787
0,4409,4409
1,22887,22887
0,21314,21314
1,20157,20157
0,34866,34866
0,4512,4512
0,42029,42029
0,28303,28303
0,35579,35579
0,9561,9561
0,34853,34853
0,7646,7646
0,39494,39494
1,20951,20951
0,38035,38035
0,1438,1438
1,19148,19148
0,3660,3660
0,20775,20775
0,29373,29373
0,10059,10059
0,19635,19635
0,5498,5498
0,3686,3686
0,30435,30435
0,30595,30595
0,34336,34336
0,911,911
0,1280,1280
0,5143,5143
1,8687,8687
0,23466,23466
0,41391,41391
0,21093,21093
0,402,402
0,22162,22162
0,24150,24150
0,7154,7154
0,29056,29056
1,41302,41302
0,32324,32324
0,31656,31656
0,4264,4264
0,7859,7859
1,42840,42840
0,6192,6192
0,25464,25464
0,18063,18063
0,31386,31386
0,16869,16869
0,1507,1507
0,27078,27078
1,11386,11386
1,6343,6343
0,9020,9020
0,17421,17421
0,2310,2310
0,6763,6763
0,13094,13094
1,6638,6638
0,9215,9215
0,7405,7405
0,24170,24170
0,3711,3711
0,14451,14451
0,22964,22964
0,25546,25546
0,5653,5653
0,339,339
1,27256,27256
0,3157,3157
0,3798,3798
0,28662,28662
0,216,216
0,38203,38203
0,23249,23249
0,12042,12042
1,26536,26536
0,1826,1826
0,36100,36100
0,36718,36718
0,2963,2963
0,35789,35789
0,16015,16015
1,6441,6441
0,12304,12304
0,18477,18477
0,126,126
0,35626,35626
0,10423,10423
0,40730,40730
0,28691,28691
0,22691,22691
0,29555,29555
0,37104,37104
0,15043,15043
0,702,702
0,2354,2354
0,24592,24592
0,5302,5302
0,10746,10746
1,22439,22439
0,37165,37165
0,21331,21331
0,16544,16544
0,27682,27682
0,30852,30852
0,30620,30620
0,8774,8774
0,29873,29873
1,8309,8309
1,36408,36408
0,30456,30456
0,34298,34298
1,2258,2258
0,37076,37076
1,34980,34980
0,13559,13559
0,22826,22826
0,2198,2198
0,26213,26213
0,5603,5603
0,16874,16874
0,35646,35646
0,12744,12744
0,1770,1770
0,32341,32341
1,38952,38952
0,16362,16362
0,14094,14094
0,31897,31897
0,24612,24612
0,9000,9000
0,26164,26164
0,7669,7669
0,23366,23366
0,25398,25398
0,4506,4506
0,23032,23032
0,42650,42650
0,4060,4060
0,4848,4848
0,10263,10263
0,8247,8247
0,23956,23956
1,40892,40892
1,1121,1121
0,18156,18156
0,22359,22359
0,19947,19947
0,24126,24126
0,34111,34111
0,1445,1445
0,33307,33307
0,42000,42000
0,28878,28878
0,39012,39012
0,22219,22219
0,66,66
0,31763,31763
1,20416,20416
0,35474,35474
1,23803,23803
0,16212,16212
0,25613,25613
0,9048,9048
0,41969,41969
0,13457,13457
0,32331,32331
0,27169,27169
0,17514,17514
0,3895,3895
0,32644,32644
0,29293,29293
0,24099,24099
0,39321,39321
0,15008,15008
0,40728,40728
1,31846,31846
0,37173,37173
0,20310,20310
0,9873,9873
0,39654,39654
0,25967,25967
0,16934,16934
0,39701,39701
0,10224,10224
0,2200,2200
0,22745,22745
0,36368,36368
1,15230,15230
1,22246,22246
1,6873,6873
0,17880,17880
0,36044,36044
0,942,942
0,1296,1296
0,21332,21332
0,31411,31411
0,33085,33085
0,15563,15563
0,18142,18142
0,31986,31986
0,10644,10644
0,19590,19590
0,12584,12584
0,1263,1263
0,9013,9013
0,6629,6629
0,40742,40742
0,14109,14109
0,40398,40398
0,19518,19518
0,14200,14200
0,25862,25862
1,1210,1210
1,37765,37765
0,38410,38410
0,27481,27481
0,15101,15101
0,41601,41601
0,16607,16607
0,12127,12127
0,19766,19766
0,12046,12046
0,36182,36182
0,23957,23957
0,33569,33569
