id,label,left_id,left_publisher,left_title,left_author,left_year,left_ENTRYTYPE,left_journal,left_number,left_volume,left_pages,left_booktitle,right_id,right_title,right_booktitle,right_author,right_pages,right_year,right_ENTRYTYPE,right_publisher,right_journal,right_number,right_volume
0,1,280,,Pattern Matching over Cloaked Time Series,Xiang Lian and Lei Chen and Jeffrey Xu Yu,2008,inproceedings,,,,1462--1464,"Proceedings of the 24th International Conference on Data Engineering, {ICDE} 2008, April 7-12, 2008, Canc{\'{u}}n, M{\'{e}}xico",1717,Pattern matching over cloaked time series,"Data Engineering, 2008. ICDE 2008. IEEE 24th International Conference on","Lian, Xiang and Chen, Lei and Yu, Jeffrey Xu",1462--1464,2008,inproceedings,,,,
1,1,226,,PBiTree Coding and Efficient Processing of Containment Joins,Wei Wang and Haifeng Jiang and Hongjun Lu and Jeffrey Xu Yu,2003,inproceedings,,,,391--402,"Proceedings of the 19th International Conference on Data Engineering, March 5-8, 2003, Bangalore, India",1673,PBiTree coding and efficient processing of containment joins,"Data Engineering, 2003. Proceedings. 19th International Conference on","Wang, Wei and Jiang, Haigeng and Lu, Hongjun and Yu, Jeffrey Xu",391--402,2003,inproceedings,,,,
2,0,2431,,Data Grid discovery and Semantic Web technologies for the earth sciences,Line Pouchard and Andrew Woolf and David E. Bernholdt,2005,article,Int. J. on Digital Libraries,2,5,72--83,,1373,Neural network-based retrieval from software reuse repositories,,"Eichmann, David and Srinivas, Kankanaha11i",215--228,1992,article,,"Neural Networks and Pattern Recognition in Human Computer Interaction, R. Beale and J. Findlay, eds",,
3,0,2095,,An Introduction to Variational Methods for Graphical Models,Michael I. Jordan and Zoubin Ghahramani and Tommi S. Jaakkola and Lawrence K. Saul,1999,article,Machine Learning,2,37,183--233,,906,"Advances in Database Technology-EDBT 2002: 8th International Conference on Extending Database Technology, Prague, Czech Republic, March 25-27, Proceedings",,"Jensen, Christian S and Jeffery, Keith G and Pokorny, Jaroslav and Saltenis, Simonas and Bertino, Elisa and B{\o}hm, Klemens and Jarke, Matthias",,2003,book,Springer,,,2287
4,0,2644,,Is machine learning losing the battle to produce transportable signatures against VoIP traffic?,Riyad Alshammari and A. Nur Zincir{-}Heywood,2011,inproceedings,,,,1543--1550,"Proceedings of the {IEEE} Congress on Evolutionary Computation, {CEC} 2011, New Orleans, LA, USA, 5-8 June, 2011",1821,iGraph in action: performance analysis of disk-based graph indexing techniques,Proceedings of the 2011 ACM SIGMOD International Conference on Management of data,"Han, Wook-Shin and Pham, Minh-Duc and Lee, Jinsoo and Kasperovics, Romans and Yu, Jeffrey Xu",1241--1242,2011,inproceedings,,,,
5,0,164,,Safe Database Queries with External Functions,Hong{-}Cheu Liu and Jeffrey Xu Yu,1999,inproceedings,,,,260--269,"1999 International Database Engineering and Applications Symposium, {IDEAS} 1999, Montreal, Canada, August 2-4, 1999, Proceedings",2387,Crossmine: Efficient classification across multiple database relations,Constraint-Based mining and inductive databases,"Yin, Xiaoxin and Han, Jiawei and Yang, Jiong and Philip, S Yu",172--195,2006,incollection,Springer Berlin Heidelberg,,,
6,0,2310,,Simultaneous Relevant Feature Identification and Classification in High-Dimensional Spaces,L. R. Grate and Chiranjib Bhattacharyya and Michael I. Jordan and I. Saira Mian,2002,inproceedings,,,,1--9,"Algorithms in Bioinformatics, Second International Workshop, {WABI} 2002, Rome, Italy, September 17-21, 2002, Proceedings",1598,XParent: An efficient RDBMS-based XML database system,"Data Engineering, 2002. Proceedings. 18th International Conference on","Jiang, Haifeng and Lu, Hongjun and Wang, Wei and Yu, Jeffrey Xu",335--336,2002,inproceedings,,,,
7,0,130,,Materialized view selection as constrained evolutionary optimization,Jeffrey Xu Yu and Xin Yao and Chi{-}Hon Choi and Gang Gou,2003,article,"{IEEE} Transactions on Systems, Man, and Cybernetics, Part {C}",4,33,458--467,,2893,Efficient processing of continual range queries for location-aware mobile services,,"Wu, Kun-Lung and Chen, Shyh-Kwei and Philip, S Yu",435--448,2005,article,Kluwer Academic Publishers,Information Systems Frontiers,5-Apr,7
8,0,287,,Application Benchmark,Denilson Barbosa and Ioana Manolescu and Jeffrey Xu Yu,2009,incollection,,,,99--100,Encyclopedia of Database Systems,2719,An improved biclustering method for analyzing gene expression profiles,,"Yang, Jiong and Wang, Haixun and Wang, Wei and Yu, Philip S",771--789,2005,article,World Scientific Publishing Company,International Journal on Artificial Intelligence Tools,5,14
9,1,2234,,Bayesian Nonparametric Inference of Switching Dynamic Linear Models,Emily B. Fox and Erik B. Sudderth and Michael I. Jordan and Alan S. Willsky,2011,article,{IEEE} Transactions on Signal Processing,4,59,1569--1585,,2221,Bayesian nonparametric inference of switching dynamic linear models,,"Fox, Emily and Sudderth, Erik and Jordan, Michael and Willsky, Alan",1569--1585,2011,article,IEEE,"Signal Processing, IEEE Transactions on",4,59
10,0,138,,XPath Rewriting Using Multiple Views,Junhu Wang and Jeffrey Xu Yu,2008,inproceedings,,,,493--507,"Database and Expert Systems Applications, 19th International Conference, {DEXA} 2008, Turin, Italy, September 1-5, 2008. Proceedings",1624,Keyword search in databases,,"Yu, Jeffrey Xu and Qin, Lu and Chang, Lijun",1--155,2009,article,Morgan \& Claypool Publishers,Synthesis Lectures on Data Management,1,1
11,0,2108,,An Alternative Model for Mixtures of Experts,Lei Xu and Michael I. Jordan and Geoffrey E. Hinton,1994,inproceedings,,,,633--640,"Advances in Neural Information Processing Systems 7, {[NIPS} Conference, Denver, Colorado, USA, 1994]",1146,An alternative model for mixtures of experts,,"Xu, Lei and Jordan, Michael I and Hinton, Geoffrey E",633--640,1995,article,MORGAN KAUFMANN PUBLISHERS,Advances in neural information processing systems,,
12,0,62,,Average-Payoff Reinforcement Learning,,2010,incollection,,,,64,Encyclopedia of Machine Learning,1918,Fires on the web: Towards efficient exploring historical web graphs,Database Systems for Advanced Applications,"Yang, Zhenglu and Yu, Jeffrey Xu and Liu, Zheng and Kitsuregawa, Masaru",612--626,2010,incollection,Springer Berlin Heidelberg,,,
13,0,2380,,Probabilistic Graphical Models and Machine Learning,Sargur N. Srihari,2011,inproceedings,,,,1,"Proceedings of the 5th Indian International Conference on Artificial Intelligence, {IICAI} 2011, Tumkur, Karnataka State, India, December 14-16, 2011",1298,Discovering binary codes for documents by learning deep generative models,,"Hinton, Geoffrey and Salakhutdinov, Ruslan",74--91,2011,article,Blackwell Publishing Ltd,Topics in Cognitive Science,1,3
14,0,242,,Containment Join Size Estimation: Models and Methods,Wei Wang and Haifeng Jiang and Hongjun Lu and Jeffrey Xu Yu,2003,inproceedings,,,,145--156,"Proceedings of the 2003 {ACM} {SIGMOD} International Conference on Management of Data, San Diego, California, USA, June 9-12, 2003",2494,Proximity Tracking on Time-Evolving Bipartite Graphs.,,"Tong, Hanghang and Papadimitriou, Spiros and Philip, S Yu and Faloutsos, Christos",704--715,2008,article,,SDM,,8
15,0,633,,A Break for Workaholics: Energy-Efficient Selective Tuning Mechanisms for Demand-Driven-Based Wireless Environment,Kian{-}Lee Tan and Jeffrey Xu Yu,1997,inproceedings,,,,165--174,"Database Systems for Advanced Applications '97, Proceedings of the Fifth International Conference on Database Systems for Advanced Applications (DASFAA), Melbourne, Australia, April 1-4, 1997",2024,A break for workaholics: Energy-efficient selective tuning mechanisms for demand-driven-based wireless environment,Proceedings of the 5th International Conference on Database Systems for Advanced Applications,"Tan, Kian-Lee and Yu, JX",87--94,1995,incollection,,,,
16,0,637,,Efficient Core Maintenance in Large Dynamic Graphs,Rong{-}Hua Li and Jeffrey Xu Yu,2012,article,CoRR,,abs/1207.4567,,,2720,Effective estimation of posterior probabilities: Explaining the accuracy of randomized decision tree approaches,"Data Mining, Fifth IEEE International Conference on","Fan, Wei and Greengrass, Ed and McCloskey, Joe and Yu, Philip S and Drammey, K",8--pp,2005,inproceedings,,,,
17,1,277,,A Balanced Ensemble Approach to Weighting Classifiers for Text Classification,Gabriel Pui Cheong Fung and Jeffrey Xu Yu and Haixun Wang and David W. Cheung and Huan Liu,2006,inproceedings,,,,869--873,"Proceedings of the 6th {IEEE} International Conference on Data Mining {(ICDM} 2006), 18-22 December 2006, Hong Kong, China",1751,A balanced ensemble approach to weighting classifiers for text classification,"Data Mining, 2006. ICDM'06. Sixth International Conference on","Fung, Gabriel Pui Cheong and Yu, Jeffrey Xu and Wang, Haixun and Cheung, David W and Liu, Huan",869--873,2006,inproceedings,,,,
18,1,2123,,Privacy Aware Learning,John C. Duchi and Michael I. Jordan and Martin J. Wainwright,2012,inproceedings,,,,1439--1447,"Advances in Neural Information Processing Systems 25: 26th Annual Conference on Neural Information Processing Systems 2012. Proceedings of a meeting held December 3-6, 2012, Lake Tahoe, Nevada, United States.",2306,Privacy aware learning,Advances in Neural Information Processing Systems,"Wainwright, Martin J and Jordan, Michael I and Duchi, John C",1430--1438,2012,inproceedings,,,,
19,0,915,,Application of machine learning methods to histone methylation ChIP-Seq data reveals H4R3me2 globally represses gene expression,Xiaojiang Xu and Stephen Hoang and Marty W. Mayo and Stefan Bekiranov,2010,article,{BMC} Bioinformatics,,11,396,,2969,Geiger: monitoring the buffer cache in a virtual machine environment,ACM SIGOPS Operating Systems Review,"Jones, Stephen T and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H",14--24,2006,inproceedings,,,5,40
20,1,177,,Context-Aware Object Connection Discovery in Large Graphs,James Cheng and Yiping Ke and Wilfred Ng and Jeffrey Xu Yu,2009,inproceedings,,,,856--867,"Proceedings of the 25th International Conference on Data Engineering, {ICDE} 2009, March 29 2009 - April 2 2009, Shanghai, China",1642,Context-aware object connection discovery in large graphs,"Data Engineering, 2009. ICDE'09. IEEE 25th International Conference on","Cheng, James and Ke, Yiping and Ng, Wilfred and Yu, Jeffrey Xu",856--867,2009,inproceedings,,,,
21,0,1824,,Two Examples of Computational Creativity: {ILP} Multiple Predicate Synthesis and the 'Assets' in Theorem Proving,Marta Franov{\'{a}} and Yves Kodratoff,2010,incollection,,,,155--173,"Advances in Machine Learning II, Dedicated to the Memory of Professor Ryszard S. Michalski",1741,Matching top-k answers of twig patterns in probabilistic XML,Database Systems for Advanced Applications,"Ning, Bo and Liu, Chengfei and Yu, Jeffrey Xu and Wang, Guoren and Li, Jianxin",125--139,2010,incollection,Springer Berlin Heidelberg,,,
22,1,201,,Index-based Optimal Algorithms for Computing Steiner Components with Maximum Connectivity,Lijun Chang and Xuemin Lin and Lu Qin and Jeffrey Xu Yu and Wenjie Zhang,2015,inproceedings,,,,459--474,"Proceedings of the 2015 {ACM} {SIGMOD} International Conference on Management of Data, Melbourne, Victoria, Australia, May 31 - June 4, 2015",2052,Index-based Optimal Algorithms for Computing Steiner Components with Maximum Connectivity,Proceedings of the 2015 ACM SIGMOD International Conference on Management of Data,"Chang, Lijun and Lin, Xuemin and Qin, Lu and Yu, Jeffrey Xu and Zhang, Wenjie",459--474,2015,inproceedings,,,,
23,0,1593,,Adding intelligence to a scientific database,F. J. Smith,2004,article,Data Science Journal,,3,182--190,,2798,Systems and methods for distributing information to an operator of a vehicle,,"Yu, Philip Shi-lung and Greene, David P and Stern, Edith H and Willner, Barry E",,2004,misc,,,,
24,0,330,,A Database Redo Log System Based on Virtual Memory Disk,Haiping Wu and Hongliang Yu and Bigang Li and Wei Xue and Weimin Zheng,2006,inproceedings,,,,656--662,"Computational Science - {ICCS} 2006, 6th International Conference, Reading, UK, May 28-31, 2006, Proceedings, Part {III}",2397,Content based method for product-peer filtering,,"Aggarwal, Charu C and Philip, S Yu",,2002,misc,,,,
25,1,636,,A Dynamic Scheduler for the Infinite Air-Cache,Kian{-}Lee Tan and Jeffrey Xu Yu,1997,article,Data Knowl. Eng.,1,24,97--112,,1706,A dynamic scheduler for the infinite air-cache,,"Tan, Kian-Lee and Jeffrey, X Yu",97--112,1997,article,North-Holland,Data \& knowledge engineering,1,24
26,1,114,,A Framework of Algorithms: Computing the Bias and Prestige of Nodes in Trust Networks,Rong{-}Hua Li and Jeffrey Xu Yu and Xin Huang and Hong Cheng,2012,article,CoRR,,abs/1207.5661,,,1979,A framework of algorithms: Computing the bias and prestige of nodes in trust networks,,"Li, Rong-Hua and Yu, Jeffrey Xu and Huang, Xin and Cheng, Hong",,2012,article,,,,
27,0,265,,Estimating Node Influenceability in Social Networks,Rong{-}Hua Li and Jeffrey Xu Yu and Zechao Shang,2012,article,CoRR,,abs/1207.0913,,,2785,A graph theoretical approach to determine a join reducer sequence in distributed query processing,,"Chen, Ming-Syan and Yu, Philip S",152--165,1994,article,IEEE,"Knowledge and Data Engineering, IEEE Transactions on",1,6
28,0,2854,,Using Classifier-Based Nominal Imputation to Improve Machine Learning,Xiaoyuan Su and Russell Greiner and Taghi M. Khoshgoftaar and Amri Napolitano,2011,inproceedings,,,,124--135,"Advances in Knowledge Discovery and Data Mining - 15th Pacific-Asia Conference, {PAKDD} 2011, Shenzhen, China, May 24-27, 2011, Proceedings, Part {I}",2021,On efficient distance-based similarity search,"Data Mining Workshops (ICDMW), 2011 IEEE 11th International Conference on","Liu, Jianquan and Chen, Hanxiong and Furuse, Kazutaka and Kitagawa, Hiroyuki and Yu, Jeffrey Xu",1199--1202,2011,inproceedings,,,,
29,0,2140,,Active Learning for Crowd-Sourced Databases,Barzan Mozafari and Purnamrita Sarkar and Michael J. Franklin and Michael I. Jordan and Samuel Madden,2012,article,CoRR,,abs/1209.3686,,,1276,Separating figure from ground with a parallel network,,"Kienker, Paul K and Sejnowski, Terrence J and Hinton, Geoffrey E and Schumacher, Lee E",197--216,1986,article,,Perception,2,15
30,0,154,,Query-Driven Frequent Co-Occurring Term Computation over Relational Data Using MapReduce,Jianxin Li and Chengfei Liu and Rui Zhou and Jeffrey Xu Yu,2015,article,Comput. J.,3,58,497--513,,2537,Maple: A fast algorithm for maximal pattern-based clustering,"Data Mining, 2003. ICDM 2003. Third IEEE International Conference on","Pei, Jian and Zhang, Xiaoling and Cho, Moonjung and Wang, Haixun and Yu, Philip S",259--266,2003,inproceedings,,,,
31,0,2097,,Fast Learning by Bounding Likelihoods in Sigmoid Type Belief Networks,Tommi S. Jaakkola and Lawrence K. Saul and Michael I. Jordan,1995,inproceedings,,,,528--534,"Advances in Neural Information Processing Systems 8, NIPS, Denver, CO, November 27-30, 1995",2650,Extracting Interpretable Features for Early Classification on Time Series.,,"Xing, Zhengzheng and Pei, Jian and Philip, S Yu and Wang, Ke",247--258,2011,article,,SDM,,11
32,0,1546,,Analysis of Multi-stage Convex Relaxation for Sparse Regularization,Tong Zhang,2010,article,Journal of Machine Learning Research,,11,1081--1107,,2616,Design and analysis of a look-ahead scheduling scheme to support pause-resume for video-on-demand applications,,"Philip, S Yu and Wolf, Joel L and Shachnai, Hadas",137--149,1995,article,Springer-Verlag,Multimedia Systems,4,3
33,0,778,,Energy-efficient skyline query optimization in wireless sensor networks,Baichen Chen and Weifa Liang and Jeffrey Xu Yu,2012,article,Wireless Networks,8,18,985--1004,,2412,Dynamic load balancing on web-server systems,,"Cardellini, Valeria and Colajanni, Michele and Philip, S Yu",28--39,1999,article,IEEE,IEEE Internet computing,3,
34,0,1882,,New {SQL} Standard in Database Modeling,Eric Pardede and J. Wenny Rahayu and David Taniar,2005,incollection,,,,2116--2121,Encyclopedia of Information Science and Technology {(5} Volumes),234,Semi-supervised sequence modeling with syntactic topic models,,"Li, Wei and McCallum, Andrew",813,2005,article,"Menlo Park, CA; Cambridge, MA; London; AAAI Press; MIT Press; 1999",Proceedings of the National Conference on Artificial Intelligence,2,20
35,0,738,,Querying Shortest Path Distance with Bounded Errors in Large Graphs,Miao Qiao and Hong Cheng and Jeffrey Xu Yu,2011,inproceedings,,,,255--273,"Scientific and Statistical Database Management - 23rd International Conference, {SSDBM} 2011, Portland, OR, USA, July 20-22, 2011. Proceedings",1708,Querying shortest path distance with bounded errors in large graphs,Scientific and Statistical Database Management,"Qiao, Miao and Cheng, Hong and Yu, Jeffrey Xu",255--273,2011,incollection,Springer Berlin Heidelberg,,,
36,0,2326,,Approximating Posterior Distributions in Belief Networks Using Mixtures,Christopher M. Bishop and Neil D. Lawrence and Tommi S. Jaakkola and Michael I. Jordan,1997,inproceedings,,,,416--422,"Advances in Neural Information Processing Systems 10, {[NIPS} Conference, Denver, Colorado, USA, 1997]",2776,Mining Community Structure of Named Entities from Web Pages and Blogs.,AAAI Spring Symposium: Computational Approaches to Analyzing Weblogs,"Li, Xin and Liu, Bing and Philip, S Yu",108--114,2006,inproceedings,,,,
37,1,144,,Contained Rewritings of XPath Queries Using Views Revisited,Junhu Wang and Jeffrey Xu Yu and Chengfei Liu,2008,inproceedings,,,,410--425,"Web Information Systems Engineering - {WISE} 2008, 9th International Conference, Auckland, New Zealand, September 1-3, 2008. Proceedings",1823,Contained rewritings of XPath queries using views revisited,Web Information Systems Engineering-WISE 2008,"Wang, Junhu and Yu, Jeffrey Xu and Liu, Chengfei",410--425,2008,incollection,Springer Berlin Heidelberg,,,
38,0,746,,On Maximal Contained Rewriting of Tree Pattern Queries Using Views,Junhu Wang and Jeffrey Xu Yu,2010,inproceedings,,,,616--629,"Web Information Systems Engineering - {WISE} 2010 - 11th International Conference, Hong Kong, China, December 12-14, 2010. Proceedings",1803,Quasi-SLCA based Keyword Query Processing over Probabilistic XML Data,,"Li, Jianxin and Liu, Chengfei and Zhou, Rui and Yu, Jeffrey Xu",957--969,2014,article,IEEE,"Knowledge and Data Engineering, IEEE Transactions on",4,26
39,0,2338,,Parallel Double Greedy Submodular Maximization,Xinghao Pan and Stefanie Jegelka and Joseph E. Gonzalez and Joseph K. Bradley and Michael I. Jordan,2014,inproceedings,,,,118--126,"Advances in Neural Information Processing Systems 27: Annual Conference on Neural Information Processing Systems 2014, December 8-13 2014, Montreal, Quebec, Canada",2139,DiscLDA: Discriminative learning for dimensionality reduction and classification,Advances in neural information processing systems,"Lacoste-Julien, Simon and Sha, Fei and Jordan, Michael I",897--904,2009,inproceedings,,,,
40,1,2079,,Multiple Non-Redundant Spectral Clustering Views,Donglin Niu and Jennifer G. Dy and Michael I. Jordan,2010,inproceedings,,,,831--838,"Proceedings of the 27th International Conference on Machine Learning (ICML-10), June 21-24, 2010, Haifa, Israel",2279,Multiple non-redundant spectral clustering views,Proceedings of the 27th international conference on machine learning (ICML-10),"Niu, Donglin and Dy, Jennifer G and Jordan, Michael I",831--838,2010,inproceedings,,,,
41,0,2123,,Privacy Aware Learning,John C. Duchi and Michael I. Jordan and Martin J. Wainwright,2012,inproceedings,,,,1439--1447,"Advances in Neural Information Processing Systems 25: 26th Annual Conference on Neural Information Processing Systems 2012. Proceedings of a meeting held December 3-6, 2012, Lake Tahoe, Nevada, United States.",198,Dynamic sharing and backward compatibility on 64-bit machines,,"Garrett, William E and Bianchini, LI and Kontothanassis, LI and McCallum, R Andrew and Thomas, Jeffery and Wisniewski, Robert and Scott, Michael L",,1992,book,"University of Rochester, Department of Computer Science",,,
42,0,2141,,Learning the Kernel Matrix with Semi-Definite Programming,Gert R. G. Lanckriet and Nello Cristianini and Peter L. Bartlett and Laurent El Ghaoui and Michael I. Jordan,2002,inproceedings,,,,323--330,"Machine Learning, Proceedings of the Nineteenth International Conference {(ICML} 2002), University of New South Wales, Sydney, Australia, July 8-12, 2002",264,Penn/umass/chop biocreative ii systems,,"Ganchev, Kuzman and Crammer, Koby and Pereira, Fernando and Mann, Gideon and Bellare, Kedar and McCallum, Andrew and Carroll, Steve and Jin, Yang and White, Peter",,2007,article,,,,
43,0,1590,,Bookshelf: a simple curation system for the storage of biomolecular simulation data,Shabana Vohra and Benjamin A. Hall and Daniel A. Holdbrook and Syma Khalid and Philip C. Biggin,2010,article,Database,,2010,,,3010,Parity Lost and Parity Regained.,,"Krioukov, Andrew and Bairavasundaram, Lakshmi N and Goodson, Garth R and Srinivasan, Kiran and Thelen, Randy and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H",127--141,2008,article,,FAST,,8
44,1,236,,Clustering Large Attributed Graphs: An Efficient Incremental Approach,Yang Zhou and Hong Cheng and Jeffrey Xu Yu,2010,inproceedings,,,,689--698,"{ICDM} 2010, The 10th {IEEE} International Conference on Data Mining, Sydney, Australia, 14-17 December 2010",1664,Clustering large attributed graphs: An efficient incremental approach,"Data Mining (ICDM), 2010 IEEE 10th International Conference on","Zhou, Yang and Cheng, Hong and Yu, Jeffrey Xu",689--698,2010,inproceedings,,,,
45,0,624,,Maintaining Materialized Views for Data Warehouses with Multiple Remote Sources,Weifa Liang and Chris Johnson and Jeffrey Xu Yu,2000,inproceedings,,,,299--310,"Web-Age Information Management, First International Conference, {WAIM} 2000, Shanghai, China, June 21-23, 2000, Proceedings",1829,Maintaining materialized views for data warehouses with multiple remote sources,Web-Age Information Management,"Liang, Weifa and Johnson, Chris and Jeffrey, X Yu",299--311,2000,incollection,Springer Berlin Heidelberg,,,
46,0,1466,,Multi-view kernel construction,Virginia R. de Sa and Patrick W. Gallagher and Joshua M. Lewis and Vicente L. Malave,2010,article,Machine Learning,1-Feb,79,47--71,,249,Learning with incomplete selective perception,,"McCallum, R Andrew",,1993,book,University of Rochester [Department of] Computer Science,,,
47,0,697,,Integrating Multiple Data Sources for Stock Prediction,Di Wu and Gabriel Pui Cheong Fung and Jeffrey Xu Yu and Zheng Liu,2008,inproceedings,,,,77--89,"Web Information Systems Engineering - {WISE} 2008, 9th International Conference, Auckland, New Zealand, September 1-3, 2008. Proceedings",2017,Study on Hydraulic Jump Characteristics of Airfoil-shaped Measuring Flume in U-shaped Channel,,"DINH, Thi Huong and SUN, Bin and YU, Jia and L{\u}, Hong-xing",10,2012,article,,Water Saving Irrigation,,4
48,0,1016,,Inferring species interaction networks from species abundance data: {A} comparative evaluation of various statistical and machine learning methods,Ali Faisal and Frank Dondelinger and Dirk Husmeier and Colin M. Beale,2010,article,Ecological Informatics,6,5,451--464,,1836,Measuring the impact of MVC attack in large complex networks,,"Li, Rong-Hua and Yu, Jeffrey Xu and Huang, Xin and Cheng, Hong and Shang, Zechao",685--702,2014,article,Elsevier,Information Sciences,,278
49,1,2027,,Estimating Divergence Functionals and the Likelihood Ratio by Convex Risk Minimization,XuanLong Nguyen and Martin J. Wainwright and Michael I. Jordan,2010,article,{IEEE} Transactions on Information Theory,11,56,5847--5861,,2238,Estimating divergence functionals and the likelihood ratio by convex risk minimization,,"Nguyen, XuanLong and Wainwright, Martin J and Jordan, Michael and others",5847--5861,2010,article,IEEE,"Information Theory, IEEE Transactions on",11,56
50,0,99,,Exploring research issues over large graphs,Jeffrey Xu Yu,2012,inproceedings,,,,18,"2012 {IEEE} International Conference on Granular Computing, GrC 2012, Hangzhou, China, August 11-13, 2012",2300,The big data bootstrap,,"Kleiner, Ariel and Talwalkar, Ameet and Sarkar, Purnamrita and Jordan, Michael",,2012,article,,arXiv preprint arXiv:1206.6415,,
51,0,674,,A topic-biased user reputation model in rating systems,Baichuan Li and Rong{-}Hua Li and Irwin King and Michael R. Lyu and Jeffrey Xu Yu,2015,article,Knowl. Inf. Syst.,3,44,581--607,,1959,A topic-biased user reputation model in rating systems,,"Li, Baichuan and Li, Rong-Hua and King, Irwin and Lyu, Michael R and Yu, Jeffrey Xu",1--27,2014,article,Springer London,Knowledge and Information Systems,,
52,1,107,,Computing weight constraint reachability in large networks,Miao Qiao and Hong Cheng and Lu Qin and Jeffrey Xu Yu and Philip S. Yu and Lijun Chang,2013,article,{VLDB} J.,3,22,275--294,,1946,Computing weight constraint reachability in large networks,,"Qiao, Miao and Cheng, Hong and Qin, Lu and Yu, Jeffrey Xu and Yu, Philip S and Chang, Lijun",275--294,2013,article,"Springer-Verlag New York, Inc.",The VLDB Journal—The International Journal on Very Large Data Bases,3,22
53,1,2044,,Latent Dirichlet Allocation,David M. Blei and Andrew Y. Ng and Michael I. Jordan,2001,inproceedings,,,,601--608,"Advances in Neural Information Processing Systems 14 [Neural Information Processing Systems: Natural and Synthetic, {NIPS} 2001, December 3-8, 2001, Vancouver, British Columbia, Canada]",2131,Latent dirichlet allocation,Advances in neural information processing systems,"Blei, David M and Ng, Andrew Y and Jordan, Michael I",601--608,2001,inproceedings,,,,
54,1,242,,Containment Join Size Estimation: Models and Methods,Wei Wang and Haifeng Jiang and Hongjun Lu and Jeffrey Xu Yu,2003,inproceedings,,,,145--156,"Proceedings of the 2003 {ACM} {SIGMOD} International Conference on Management of Data, San Diego, California, USA, June 9-12, 2003",1657,Containment join size estimation: Models and methods,Proceedings of the 2003 ACM SIGMOD international conference on Management of data,"Wang, Wei and Jiang, Haifeng and Lu, Hongjun and Yu, Jeffrey Xu",145--156,2003,inproceedings,,,,
55,1,2054,,A Statistical Approach to Decision Tree Modeling,Michael I. Jordan,1994,inproceedings,,,,363--370,"Machine Learning, Proceedings of the Eleventh International Conference, Rutgers University, New Brunswick, NJ, USA, July 10-13, 1994",2299,A statistical approach to decision tree modeling,Proceedings of the seventh annual conference on Computational learning theory,"Jordan, Michael I",13--20,1994,inproceedings,,,,
56,0,570,Springer,"Advances in Spatial and Temporal Databases, 9th International Symposium, {SSTD} 2005, Angra dos Reis, Brazil, August 22-24, 2005, Proceedings",,2005,proceedings,,,3633,,,967,Purpose based access control for privacy protection in database systems,Database Systems for Advanced Applications,"Bertino, Elisa",2--2,2005,incollection,Springer Berlin Heidelberg,,,
57,1,112,,Probabilistic ranking over relations,Lijun Chang and Jeffrey Xu Yu and Lu Qin and Xuemin Lin,2010,inproceedings,,,,477--488,"{EDBT} 2010, 13th International Conference on Extending Database Technology, Lausanne, Switzerland, March 22-26, 2010, Proceedings",1904,Probabilistic ranking over relations,Proceedings of the 13th International Conference on Extending Database Technology,"Chang, Lijun and Yu, Jeffrey Xu and Qin, Lu and Lin, Xuemin",477--488,2010,inproceedings,,,,
58,0,129,,Finding the Cost-Optimal Path with Time Constraint over Time-Dependent Graphs,Yajun Yang and Hong Gao and Jeffrey Xu Yu and Jianzhong Li,2014,article,PVLDB,9,7,673--684,,2457,Optimizing index allocation for sequential data broadcasting in wireless mobile computing,,"Chen, Ming-Syan and Wu, Kun-Lung and Yu, Philip S",161--173,2003,article,IEEE,"Knowledge and Data Engineering, IEEE Transactions on",1,15
59,0,623,,Leadership discovery when data correlatively evolve,Di Wu and Yiping Ke and Jeffrey Xu Yu and Philip S. Yu and Lei Chen,2011,article,World Wide Web,1,14,1--25,,2463,A survey of uncertain data algorithms and applications,,"Aggarwal, Charu C and Yu, Philip S",609--623,2009,article,IEEE,"Knowledge and Data Engineering, IEEE Transactions on",5,21
60,1,731,,Fast graph query processing with a low-cost index,James Cheng and Yiping Ke and Ada Wai{-}Chee Fu and Jeffrey Xu Yu,2011,article,{VLDB} J.,4,20,521--539,,1712,Fast graph query processing with a low-cost index,,"Cheng, James and Ke, Yiping and Fu, Ada Wai-Chee and Yu, Jeffrey Xu",521--539,2011,article,Springer-Verlag,The VLDB Journal,4,20
61,0,2078,,An Analysis of the Convergence of Graph Laplacians,Daniel Ting and Ling Huang and Michael I. Jordan,2010,inproceedings,,,,1079--1086,"Proceedings of the 27th International Conference on Machine Learning (ICML-10), June 21-24, 2010, Haifa, Israel",2367,An analysis of the convergence of graph Laplacians,,"Ting, Daniel and Huang, Ling and Jordan, Michael",,2011,article,,arXiv preprint arXiv:1101.5435,,
