label,left_id,left_title
0,1, Arnés de Pecho GoPro @es Arnés Alkomprar.com@es
1,2,D-Link DCS-5000L/E Interior Almohadilla Color blanco cámara de vigilancia@es vigi... @es
0,3,Canon GL2 Package 1@en PowerSellerDigital.com@en
0,4,EyeOn Pet Monitor HD 360@sv DCS-855L/P EyeOn 360 | D-Link Sweden@sv
0,5,Single Battery Charging Cradle@en Zebra ZQ110 Mobile Receipt Printer : P1070125-001 - Barcode Technologies Ltd@en
0,6,Nikkor AF-S 70-200mm f/2.8G IF-ED VR II@en Aden Camera @en Digital Cameras  Nikkor II | SLR Toronto Canada Store
0,7,Fujifilm Instax Mini Instant Color Film Sheet@en ValleySeek.com: Fuji Photo Co. Ltd 16437396 Fujifilm
0,8,E-Flite Sukhoi SU-29MM Gen 2 BNF Basic Bind-N-Fly@en Bind-N-Fly Airplane (EFL8850)@en
0,9,SanDisk Ultra CompactFlash 16GB up to 50 MB/s Read Write is lower@en  Memory & Storage | Unique Photo @en
1,10,FUJIFILM X-E2 KIT (BLACK)@en
0,11,GoPro Protective Lens and Covers@en-US Tripods | Come As You Arts@en-US
0,12,SanDisk - Extreme 64GB CompactFlash (CF) Memory Card@en-US
0,13,"D-Link DCS 5222L - network surveillance camera@en,  D-Link camera @en Prices CNET@en"
0,14,Panasonic Lumix GX Vario 12-35mm f/2.8 II Asph. Power OIS - Prijzen @NL Tweakers@NL
1,15,DCS-5020L mydlink Cloud IR WiFi panoram. Inclinaison Zoom@fr
0,16,Sigma 120-400mm F4.5-5.6 APO DG HSM (Sony) - Prijzen @NL Tweakers@NL
0,17,PowerLine HD Day Night Cloud Camera Kit@ro DCS-6045LKT PowerLine Day/Night Kit | D-Link Romania@ro
0,18,Zebra Single Battery Charging Cradle 1@en Uncategorized Zebra Technologies Products : P1070125-001 - Barcode Ltd@en
0,19,"Panasonic Lumix DMC-FX55 (Silver)@en,  Panasonic (Silver) @en Prices - CNET@en"
1,20,Sony 16-50mm f/3.5-5.6 OSS Alpha E-mount Retractable Zoom Lens@en Lens - Fumfie.com@en
0,21,GoPro HERO3+ Black Edition Camera@en Camera - Fumfie.com@en
0,22,Sony Alpha ILCE6000L/S 24.3MP Mirrorless Digital Camera 4x 3.0 inch wide type TFT LCD (Silver)@en-US Mirrorless Cameras | EISF@en-US
0,23," LUMIX F2.8 Constant Aperture Camera DMC-FZ200K @en, @en Panasonic - DMC-FZ200 12.1 MP Digital Black@en"
0,24,Nikkor AF-S 70-200mm f/2.8G IF-ED VR II@en Aden Camera @en Digital Cameras  Nikkor II | SLR Toronto Canada Store
0,25," PoE MPEG-4 Network Camera @en, BB-HCM581A-W @en Panasonic - Camera@en"
1,26,Full HD PoE Day/Night Network Camera@nl DCS-2210L Full Camera | D-Link@nl
0,27,"Batteries, Lithium, 2032@en Batteries 2032 - Wegmans@en Lithium"
0,28,Used Canon EF-S 55-250mm f/4-5.6 IS II L - Ecellent@en  Used Lenses | Unique Photo @en
1,29,Cam�ra Gopro Hero5black@fr
0,30, Cámara CANON SX510 Negra @es Cámara Alkosto Tienda Online@es
0,31,Caméra réseau dôme d'extérieur en haute définition WDR à vision jour et nuit focale variable @fr DCS-6314BS Caméra | D-Link France@fr
