id,_id,full_name,bat_odis_100,bat_odis_50,bat_odis_hs,bat_odis_mat,bat_odis_runs,bat_t20is_100,bat_t20is_50,bat_t20is_hs,bat_t20is_mat,bat_t20is_runs,bat_tests_100,bat_tests_50,bat_tests_hs,bat_tests_mat,bat_tests_runs,batting_style,born,bowling_style,playing_role
0,25,Sachin Tendulkar,49.0,96.0,200.0,463.0,18426.0,0.0,0.0,10.0,1.0,10.0,51.0,68.0,248.0,200.0,15921.0,Right Handed Bat,"Apr 24, 1973|Bombay (now Mumbai), Maharashtra",Right-arm legbreak,Batsman
1,26,Virender Sehwag,15.0,38.0,219.0,251.0,8273.0,0.0,2.0,68.0,19.0,394.0,23.0,32.0,319.0,104.0,8586.0,Right Handed Bat,"Oct 20, 1978|Delhi",Right-arm offbreak,Batsman
2,27,Rahul Dravid,12.0,83.0,153.0,344.0,10889.0,0.0,0.0,31.0,1.0,31.0,36.0,63.0,270.0,164.0,13288.0,Right Handed Bat,"Jan 11, 1973|Indore, Madhya Pradesh",Right-arm offbreak,Batsman
3,28,VVS Laxman,6.0,10.0,131.0,86.0,2338.0,,,,,,17.0,56.0,281.0,134.0,8781.0,Right Handed Bat,"Nov 01, 1974|Hyderabad, Andhra Pradesh",Right-arm offbreak,--
4,29,Sourav Ganguly,22.0,72.0,183.0,311.0,11363.0,,,,,,16.0,35.0,239.0,113.0,7212.0,Left Handed Bat,"Jul 08, 1972|Calcutta (now Kolkata), Bengal",Right-arm medium,Batsman
5,30,Shoaib Akhtar,0.0,0.0,43.0,163.0,394.0,0.0,0.0,8.0,15.0,21.0,0.0,0.0,47.0,46.0,544.0,Right Handed Bat,"Aug 13, 1975|Rawalpindi, Punjab",Right-arm fast,Bowler
6,31,Mohammad Sami,0.0,0.0,46.0,87.0,314.0,0.0,0.0,8.0,13.0,21.0,0.0,0.0,49.0,36.0,487.0,Right Handed Bat,"Feb 24, 1981|Karachi, Sind",Right-arm fast,Bowler
7,32,Shabbir Ahmed,0.0,0.0,2.0,32.0,10.0,,,,1.0,,0.0,0.0,24.0,10.0,88.0,Right Handed Bat,"Apr 21, 1976|Khanewal, Punjab",Right-arm fast-medium,Captain
8,33,Shoaib Malik,9.0,44.0,143.0,282.0,7481.0,0.0,7.0,75.0,111.0,2263.0,3.0,8.0,245.0,35.0,1898.0,Right Handed Bat,"Feb 01, 1982|Sialkot, Punjab",Right-arm offbreak,Batting Allrounder
9,34,Mohammad Yousuf,15.0,64.0,141.0,288.0,9720.0,0.0,0.0,26.0,3.0,50.0,24.0,33.0,223.0,90.0,7530.0,Right Handed Bat,"Aug 27, 1974|Lahore, Punjab",Right-arm offbreak,--
