id,_id,full_name,bat_odis_100,bat_odis_50,bat_odis_hs,bat_odis_mat,bat_odis_runs,bat_t20is_100,bat_t20is_50,bat_t20is_hs,bat_t20is_mat,bat_t20is_runs,bat_tests_100,bat_tests_50,bat_tests_hs,bat_tests_mat,bat_tests_runs,batting_style,born,bowling_style,playing_role
0,3931,Edward Lambert a'Beckett,,,,,,,,,,,0.0,0.0,41.0,4.0,143.0,Right-hand bat,"August 11, 1907, East St Kilda, Melbourne, Victoria",Right-arm fast-medium,
1,3943,Terence Michael Alderman,0.0,0.0,9.0,65.0,32.0,,,,,,0.0,0.0,26.0,41.0,203.0,Right-hand bat,"June 12, 1956, Subiaco, Perth, Western Australia",Right-arm fast-medium,
2,3944,George Alexander,,,,,,,,,,,0.0,0.0,33.0,2.0,52.0,Right-hand bat,"April 22, 1851, Fitzroy, Australia",,
3,3945,Harry Houston Alexander,,,,,,,,,,,0.0,0.0,17.0,1.0,17.0,Right-hand bat,"June 9, 1905, Ascot Vale, Victoria",Right-arm fast,
4,3950,Francis Erskine Allan,,,,,,,,,,,0.0,0.0,5.0,1.0,5.0,Right-hand bat,"December 2, 1849, Allansford, Victoria",,
5,3953,Peter John Allan,,,,,,,,,,,,,,1.0,,Right-hand bat,"December 31, 1935, Brisbane, Queensland",Right-arm fast-medium,
6,3958,Reginald Charles Allen,,,,,,,,,,,0.0,0.0,30.0,1.0,44.0,Right-hand bat,"July 2, 1858, Glebe, Sydney, New South Wales",Right-arm fast-medium,
7,3971,Thomas James Edwin Andrews,,,,,,,,,,,0.0,4.0,94.0,16.0,592.0,Right-hand bat,"August 26, 1890, Newtown, Sydney, New South Wales",Legbreak googly,
8,3975,Jo Angel,0.0,0.0,0.0,3.0,0.0,,,,,,0.0,0.0,11.0,4.0,35.0,Left-hand bat,"April 22, 1968, Mount Lawley, Perth, Western Australia",Right-arm fast,
9,3978,Kenneth Alan Archer,,,,,,,,,,,0.0,0.0,48.0,5.0,234.0,Right-hand bat,"January 17, 1928, Yeerongpilly, Queensland",Right-arm offbreak,
10,3980,Ronald Graham Archer,,,,,,,,,,,1.0,2.0,128.0,19.0,713.0,Right-hand bat,"October 25, 1933, Highgate Hill, Brisbane, Queensland",Right-arm fast,
11,3982,Warwick Windridge Armstrong,,,,,,,,,,,6.0,8.0,159.0,50.0,2863.0,Right-hand bat,"May 22, 1879, Kyneton, Victoria","Right-arm fast-medium, Legbreak",
12,4076,Clayvel Lindsay Badcock,,,,,,,,,,,1.0,0.0,118.0,7.0,160.0,Right-hand bat,"April 10, 1914, Exton, Tasmania",,
13,4089,Alexander Chalmers Bannerman,,,,,,,,,,,0.0,8.0,94.0,28.0,1108.0,Right-hand bat,"March 21, 1854, Paddington, Sydney, New South Wales",,
14,4091,Charles Bannerman,,,,,,,,,,,1.0,0.0,165.0,3.0,239.0,Right-hand bat,"July 3, 1851, Woolwich, Kent, England",,Batsman
15,4095,Warren Bardsley,,,,,,,,,,,6.0,14.0,193.0,41.0,2469.0,Left-hand bat,"December 6, 1882, Nevertire, Warren, New South Wales",,
16,4098,Sidney George Barnes,,,,,,,,,,,3.0,5.0,234.0,13.0,1072.0,Right-hand bat,"June 5, 1916, Annandale, Sydney, New South Wales",Legbreak,
17,4100,Benjamin Arthur Barnett,,,,,,,,,,,0.0,1.0,57.0,4.0,195.0,Left-hand bat,"March 23, 1908, Auburn, Melbourne, Victoria",,
18,4102,John Edward Barrett,,,,,,,,,,,0.0,1.0,67.0,2.0,80.0,Left-hand bat,"October 15, 1866, South Melbourne, Victoria",Right-arm medium,
19,4112,Graeme Robert Beard,,,,2.0,,,,,,,0.0,0.0,49.0,3.0,114.0,Right-hand bat,"August 19, 1950, Auburn, Sydney, New South Wales",,
20,4121,John Benaud,,,,,,,,,,,1.0,0.0,142.0,3.0,223.0,Right-hand bat,"May 11, 1944, Auburn, Sydney, New South Wales",Right-arm medium,
21,4123,Richard Benaud,,,,,,,,,,,3.0,9.0,122.0,63.0,2201.0,Right-hand bat,"October 6, 1930, Penrith, New South Wales",Legbreak googly,
22,4127,Murray John Bennett,0.0,0.0,6.0,8.0,9.0,,,,,,0.0,0.0,23.0,3.0,71.0,Right-hand bat,"October 6, 1956, Brisbane, Queensland",Slow left-arm orthodox,
23,4144,Michael Gwyl Bevan,6.0,46.0,108.0,232.0,6912.0,,,,,,0.0,6.0,91.0,18.0,785.0,Left-hand bat,"May 8, 1970, Belconnen, Australian Capital Territory",Slow left-arm chinaman,Batsman
24,4146,Andrew John Bichel,0.0,1.0,64.0,67.0,471.0,,,,,,0.0,1.0,71.0,19.0,355.0,Right-hand bat,"August 27, 1970, Laidley, Queensland",Right-arm fast-medium,Bowler
25,4151,Glenn Andrew Bishop,0.0,0.0,7.0,2.0,13.0,,,,,,,,,,,Right-hand bat,"February 25, 1960, North Adelaide, South Australia",,
26,4153,John McCarthy Blackham,,,,,,,,,,,0.0,4.0,74.0,35.0,800.0,Right-hand bat,"May 11, 1854, North Fitzroy, Melbourne, Victoria",,
27,4154,Donald Dearness Blackie,,,,,,,,,,,0.0,0.0,11.0,3.0,24.0,Left-hand bat,"April 5, 1882, Bendigo, Victoria",Right-arm offbreak,
28,4161,Gregory Scott Blewett,0.0,2.0,57.0,32.0,551.0,,,,,,4.0,15.0,214.0,46.0,2552.0,Right-hand bat,"October 29, 1971, Adelaide, South Australia",Right-arm medium,
29,4167,George John Bonnor,,,,,,,,,,,1.0,2.0,128.0,17.0,512.0,Right-hand bat,"February 25, 1855, Bathurst, New South Wales",Right-arm medium,
30,4169,David Clarence Boon,5.0,37.0,122.0,181.0,5964.0,,,,,,21.0,32.0,200.0,107.0,7422.0,Right-hand bat,"December 29, 1960, Launceston, Tasmania",Right-arm offbreak,Top-order batsman
31,4171,Brian Charles Booth,,,,,,,,,,,5.0,10.0,169.0,29.0,1773.0,Right-hand bat,"October 19, 1933, Perthville, Bathurst, New South Wales","Right-arm medium, Right-arm offbreak",
32,4174,Allan Robert Border,3.0,39.0,127.0,273.0,6524.0,,,,,,27.0,63.0,205.0,156.0,11174.0,Left-hand bat,"July 27, 1955, Cremorne, Sydney, New South Wales",Slow left-arm orthodox,Middle-order batsman
33,4183,Henry Frederick Boyle,,,,,,,,,,,0.0,0.0,36.0,12.0,153.0,Right-hand bat,"December 10, 1847, Sydney, New South Wales",,
34,4185,Nathan Wade Bracken,0.0,0.0,21.0,116.0,199.0,0.0,0.0,4.0,19.0,15.0,0.0,0.0,37.0,5.0,70.0,Right-hand bat,"September 12, 1977, Penrith, New South Wales",Left-arm fast-medium,Bowler
35,4188,Donald George Bradman,,,,,,,,,,,29.0,13.0,334.0,52.0,6996.0,Right-hand bat,"August 27, 1908, Cootamundra, New South Wales",Legbreak,
36,4208,Raymond James Bright,0.0,0.0,19.0,11.0,66.0,,,,,,0.0,0.0,33.0,25.0,445.0,Right-hand bat,"July 13, 1954, Footscray, Melbourne, Victoria",Slow left-arm orthodox,Bowler
37,4210,Ernest Harvey Bromley,,,,,,,,,,,0.0,0.0,26.0,2.0,38.0,Left-hand bat,"September 2, 1912, Fremantle, Western Australia",Slow left-arm orthodox,
38,4225,William Alfred Brown,,,,,,,,,,,4.0,9.0,206.0,22.0,1592.0,Right-hand bat,"July 31, 1912, Toowoomba, Queensland",Right-arm offbreak,
39,4228,William Bruce,,,,,,,,,,,0.0,5.0,80.0,14.0,702.0,Left-hand bat,"May 22, 1864, South Yarra, Melbourne, Victoria",Left-arm medium,
40,4241,Peter John Parnell Burge,,,,,,,,,,,4.0,12.0,181.0,42.0,2290.0,Right-hand bat,"May 17, 1932, Kangaroo Point, Brisbane, Queensland",Right-arm medium,Middle-order batsman
41,4242,James Wallace Burke,,,,,,,,,,,3.0,5.0,189.0,24.0,1280.0,Right-hand bat,"June 12, 1930, Mosman, Sydney, New South Wales",Right-arm offbreak,
42,4245,Edwin James Kenneth Burn,,,,,,,,,,,0.0,0.0,19.0,2.0,41.0,Right-hand bat,"September 17, 1862, Richmond, Tasmania",Right-arm medium,
43,4250,Frederick John Burton,,,,,,,,,,,0.0,0.0,2.0,2.0,4.0,Right-hand bat,"November 2, 1865, Collingwood, Melbourne, Victoria",,
44,4292,Travis Rodney Birt,,,,,,0.0,0.0,17.0,4.0,31.0,,,,,,Left-hand bat,"December 9, 1981, Sale, Victoria",Right-arm medium,Middle-order batsman
45,4433,Jeremy Paul Bray,2.0,0.0,116.0,15.0,401.0,0.0,0.0,2.0,2.0,2.0,,,,,,Left-hand bat,"November 30, 1973, Newtown, Sydney, New South Wales",,
46,4451,George John Bailey,3.0,22.0,156.0,90.0,3044.0,0.0,2.0,63.0,30.0,473.0,0.0,1.0,53.0,5.0,183.0,Right-hand bat,"September 7, 1982, Launceston, Tasmania",Right-arm medium,Top-order batsman
47,4493,Dean Graham Brownlie,0.0,1.0,63.0,16.0,361.0,0.0,0.0,5.0,5.0,6.0,1.0,4.0,109.0,14.0,711.0,Right-hand bat,"July 30, 1984, Perth, Western Australia",Right-arm medium,Middle-order batsman
48,4508,Douglas Erwin Bollinger,0.0,0.0,30.0,39.0,50.0,0.0,0.0,1.0,9.0,1.0,0.0,0.0,21.0,12.0,54.0,Left-hand bat,"July 24, 1981, Baulkham Hills, Sydney, New South Wales",Left-arm fast-medium,Bowler
