id,label,ltable_id,ltable_full_name,ltable_bat_odis_100,ltable_bat_odis_50,ltable_bat_odis_hs,ltable_bat_odis_mat,ltable_bat_odis_runs,ltable_bat_t20is_100,ltable_bat_t20is_50,ltable_bat_t20is_hs,ltable_bat_t20is_mat,ltable_bat_t20is_runs,ltable_bat_tests_100,ltable_bat_tests_50,ltable_bat_tests_hs,ltable_bat_tests_mat,ltable_bat_tests_runs,ltable_batting_style,ltable_born,ltable_bowling_style,ltable_playing_role,rtable_id,rtable_full_name,rtable_bat_odis_100,rtable_bat_odis_50,rtable_bat_odis_hs,rtable_bat_odis_mat,rtable_bat_odis_runs,rtable_bat_t20is_100,rtable_bat_t20is_50,rtable_bat_t20is_hs,rtable_bat_t20is_mat,rtable_bat_t20is_runs,rtable_bat_tests_100,rtable_bat_tests_50,rtable_bat_tests_hs,rtable_bat_tests_mat,rtable_bat_tests_runs,rtable_batting_style,rtable_born,rtable_bowling_style,rtable_playing_role
597,1,2675,Sadashiv Patil,,,,,,,,,,,0.0,0.0,14.0,1.0,14.0,Right Handed Bat,"Oct 10, 1933|Kolhapur, Maharashtra",Right-arm fast-medium,--,1570,Sadashiv Raoji Patil,,,,,,,,,,,0.0,0.0,14.0,1.0,14.0,Right-hand bat,"October 10, 1933, Kolhapur, Maharashtra",Right-arm fast-medium,
1608,1,440,Jeremy Snape,0.0,0.0,38.0,10.0,118.0,0.0,0.0,7.0,1.0,7.0,,,,,,Right Handed Bat,"Apr 27, 1973|Stoke-on-Trent, Staffordshire",Right-arm offbreak,Bowler,1008,Jeremy Nicholas Snape,0.0,0.0,38.0,10.0,118.0,0.0,0.0,7.0,1.0,7.0,,,,,,Right-hand bat,"April 27, 1973, Stoke-on-Trent, Staffordshire",Right-arm offbreak,
472,1,2827,Graham Gedye,,,,,,,,,,,0.0,2.0,55.0,4.0,193.0,Right Handed Bat,"May 02, 1929|Otahuhu, Auckland",,--,1773,Sydney Graham Gedye,,,,,,,,,,,0.0,2.0,55.0,4.0,193.0,Right-hand bat,"May 2, 1929, Otahuhu, Auckland",,
3164,1,2414,Barry Wood,0.0,2.0,78.0,13.0,314.0,,,,,,0.0,2.0,90.0,12.0,454.0,Right Handed Bat,"Dec 26, 1942|Ossett, Yorkshire",Right-arm medium,--,1120,Barry Wood,0.0,2.0,78.0,13.0,314.0,,,,,,0.0,2.0,90.0,12.0,454.0,Right-hand bat,"December 26, 1942, Ossett, Yorkshire",Right-arm medium,
1878,1,1600,Howard Francis,,,,,,,,,,,0.0,0.0,29.0,2.0,39.0,Right Handed Bat,"May 26, 1868|Westbury, Clifton, Bristol, England",,--,2355,Howard Henry Francis,,,,,,,,,,,0.0,0.0,29.0,2.0,39.0,Right-hand bat,"May 26, 1868, Westbury, Clifton, Bristol, England",,
1843,1,1628,Billy Zulch,,,,,,,,,,,2.0,4.0,150.0,16.0,983.0,Right Handed Bat,"Jan 02, 1886|Lydenburg, Transvaal",Right-arm medium,--,2608,Johan Wilhelm Zulch,,,,,,,,,,,2.0,4.0,150.0,16.0,983.0,Right-hand bat,"January 2, 1886, Lydenburg, Transvaal",Right-arm medium,
1580,1,3792,Jermaine Blackwood,0.0,0.0,9.0,2.0,11.0,,,,,,1.0,10.0,112.0,27.0,1324.0,Right Handed Bat,"Nov 20, 1991|Jamaica",Right-arm offbreak,Batsman,4967,Jermaine Blackwood,0.0,0.0,9.0,2.0,11.0,,,,,,1.0,10.0,112.0,27.0,1324.0,Right-hand bat,"November 20, 1991, Jamaica",Right-arm offbreak,Middle-order batsman
2240,1,1758,Peter Carlstein,,,,,,,,,,,0.0,0.0,42.0,8.0,190.0,Right Handed Bat,"Oct 28, 1938|Klerksdorp, Transvaal",Right-arm legbreak,--,2294,Peter Rudolph Carlstein,,,,,,,,,,,0.0,0.0,42.0,8.0,190.0,Right-hand bat,"October 28, 1938, Klerksdorp, Transvaal",Legbreak,
3439,1,2061,Audley Miller,,,,,,,,,,,0.0,0.0,20.0,1.0,24.0,Right Handed Bat,"Oct 19, 1869|Brentry, Westbury-on-Trym, Gloucestershire",Right-arm fast-medium,--,856,Audley Montague Miller,,,,,,,,,,,0.0,0.0,20.0,1.0,24.0,Right-hand bat,"October 19, 1869, Brentry, Westbury-on-Trym, Gloucestershire",Right-arm medium-fast,
1019,1,719,Isuru Udana,0.0,1.0,78.0,5.0,110.0,0.0,1.0,84.0,21.0,173.0,,,,,,Right Handed Bat,"Feb 17, 1988|Balangoda",Left-arm fast-medium,Batting Allrounder,4689,Isuru Udana Tillakaratna,0.0,1.0,78.0,5.0,110.0,0.0,1.0,84.0,21.0,173.0,,,,,,Right-hand bat,"February 17, 1988, Balangoda",Left-arm medium-fast,Allrounder
