id,ltable_ID,rtable_ID,ltable_ENTRYTYPE,ltable_author,ltable_title,ltable_year,rtable_ENTRYTYPE,rtable_author,rtable_title,rtable_year,label
233079,280,1717,inproceedings,"Xiang Lian and
Lei Chen and
Jeffrey Xu Yu",Pattern Matching over Cloaked Time Series,2008,inproceedings,"Lian, Xiang and Chen, Lei and Yu, Jeffrey Xu",Pattern matching over cloaked time series,2008.0,1
171206,226,1673,inproceedings,"Wei Wang and
Haifeng Jiang and
Hongjun Lu and
Jeffrey Xu Yu",PBiTree Coding and Efficient Processing of Containment Joins,2003,inproceedings,"Wang, Wei and Jiang, Haigeng and Lu, Hongjun and Yu, Jeffrey Xu",PBiTree coding and efficient processing of containment joins,2003.0,1
1164222,2431,1373,article,"Line Pouchard and
Andrew Woolf and
David E. Bernholdt",Data Grid discovery and Semantic Web technologies for the earth sciences,2005,article,"Eichmann, David and Srinivas, Kankanaha11i",Neural network-based retrieval from software reuse repositories,1992.0,0
964470,2095,906,article,"Michael I. Jordan and
Zoubin Ghahramani and
Tommi S. Jaakkola and
Lawrence K. Saul",An Introduction to Variational Methods for Graphical Models,1999,book,"Jensen, Christian S and Jeffery, Keith G and Pokorny, Jaroslav and Saltenis, Simonas and Bertino, Elisa and B{\""o}hm, Klemens and Jarke, Matthias","Advances in Database Technology-EDBT 2002: 8th International Conference on Extending Database Technology, Prague, Czech Republic, March 25-27, Proceedings",2003.0,0
1230491,2644,1821,inproceedings,"Riyad Alshammari and
A. Nur Zincir{-}Heywood","Is machine learning losing the battle to produce transportable_table signatures
against VoIP traffic?",2011,inproceedings,"Han, Wook-Shin and Pham, Minh-Duc and Lee, Jinsoo and Kasperovics, Romans and Yu, Jeffrey Xu",iGraph in action: performance analysis of disk-based graph indexing techniques,2011.0,0
107018,164,2387,inproceedings,"Hong{-}Cheu Liu and
Jeffrey Xu Yu",Safe Database Queries with External Functions,1999,incollection,"Yin, Xiaoxin and Han, Jiawei and Yang, Jiong and Philip, S Yu",Crossmine: Efficient classification across multiple database relations,2006.0,0
1114449,2310,1598,inproceedings,"L. R. Grate and
Chiranjib Bhattacharyya and
Michael I. Jordan and
I. Saira Mian","Simultaneous Relevant Feature Identification and Classification in
High-Dimensional Spaces",2002,inproceedings,"Jiang, Haifeng and Lu, Hongjun and Wang, Wei and Yu, Jeffrey Xu",XParent: An efficient RDBMS-based XML database system,2002.0,0
66415,130,2893,article,"Jeffrey Xu Yu and
Xin Yao and Chi{-}Hon Choi and Gang Gou",Materialized view selection as constrained evolutionary optimization,2003,article,"Wu, Kun-Lung and Chen, Shyh-Kwei and Philip, S Yu",Efficient processing of continual range queries for location-aware mobile services,2005.0,0
242305,287,2719,incollection,"Denilson Barbosa and
Ioana Manolescu and
Jeffrey Xu Yu",Application Benchmark,2009,article,"Yang, Jiong and Wang, Haixun and Wang, Wei and Yu, Philip S",An improved biclustering method for analyzing gene expression profiles,2005.0,0
1062581,2234,2221,article,"Emily B. Fox and
Erik B. Sudderth and
Michael I. Jordan and
Alan S. Willsky",Bayesian Nonparametric Inference of Switching Dynamic Linear Models,2011,article,"Fox, Emily and Sudderth, Erik and Jordan, Michael and Willsky, Alan",Bayesian nonparametric inference of switching dynamic linear models,2011.0,1
75119,138,1624,inproceedings,"Junhu Wang and
Jeffrey Xu Yu",XPath Rewriting Using Multiple Views,2008,article,"Yu, Jeffrey Xu and Qin, Lu and Chang, Lijun",Keyword search in databases,2009.0,0
973584,2108,1146,inproceedings,"Lei Xu and
Michael I. Jordan and
Geoffrey E. Hinton",An Alternative Model for Mixtures of Experts,1994,article,"Xu, Lei and Jordan, Michael I and Hinton, Geoffrey E",An alternative model for mixtures of experts,1995.0,0
17133,62,1918,incollection,,Average-Payoff Reinforcement Learning,2010,incollection,"Yang, Zhenglu and Yu, Jeffrey Xu and Liu, Zheng and Kitsuregawa, Masaru",Fires on the web: Towards efficient exploring historical web graphs,2010.0,0
1146777,2380,1298,inproceedings,Sargur N. Srihari,Probabilistic Graphical Models and Machine Learning,2011,article,"Hinton, Geoffrey and Salakhutdinov, Ruslan",Discovering binary codes for documents by learning deep generative models,2011.0,0
190445,242,2494,inproceedings,"Wei Wang and
Haifeng Jiang and
Hongjun Lu and
Jeffrey Xu Yu",Containment Join Size Estimation: Models and Methods,2003,article,"Tong, Hanghang and Papadimitriou, Spiros and Philip, S Yu and Faloutsos, Christos",Proximity Tracking on Time-Evolving Bipartite Graphs.,2008.0,0
379159,633,2024,inproceedings,"Kian{-}Lee Tan and
Jeffrey Xu Yu","A Break for Workaholics: Energy-Efficient Selective Tuning Mechanisms
for Demand-Driven-Based Wireless Environment",1997,incollection,"Tan, Kian-Lee and Yu, JX",A break for workaholics: Energy-efficient selective tuning mechanisms for demand-driven-based wireless environment,1995.0,0
384533,637,2720,article,"Rong{-}Hua Li and
Jeffrey Xu Yu",Efficient Core Maintenance in Large Dynamic Graphs,2012,inproceedings,"Fan, Wei and Greengrass, Ed and McCloskey, Joe and Yu, Philip S and Drammey, K",Effective estimation of posterior probabilities: Explaining the accuracy of randomized decision tree approaches,2005.0,0
229439,277,1751,inproceedings,"Gabriel Pui Cheong Fung and
Jeffrey Xu Yu and
Haixun Wang and
David W. Cheung and
Huan Liu",A Balanced Ensemble Approach to Weighting Classifiers for Text Classification,2006,inproceedings,"Fung, Gabriel Pui Cheong and Yu, Jeffrey Xu and Wang, Haixun and Cheung, David W and Liu, Huan",A balanced ensemble approach to weighting classifiers for text classification,2006.0,1
985822,2123,2306,inproceedings,"John C. Duchi and
Michael I. Jordan and
Martin J. Wainwright",Privacy Aware Learning,2012,inproceedings,"Wainwright, Martin J and Jordan, Michael I and Duchi, John C",Privacy aware learning,2012.0,1
600283,915,2969,article,"Xiaojiang Xu and
Stephen Hoang and
Marty W. Mayo and
Stefan Bekiranov","Application of machine learning methods to histone methylation ChIP-Seq
data reveals H4R3me2 globally represses gene expression",2010,inproceedings,"Jones, Stephen T and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H",Geiger: monitoring the buffer cache in a virtual machine environment,2006.0,0
121321,177,1642,inproceedings,"James Cheng and
Yiping Ke and Wilfred Ng and Jeffrey Xu Yu",Context-Aware Object Connection Discovery in Large Graphs,2009,inproceedings,"Cheng, James and Ke, Yiping and Ng, Wilfred and Yu, Jeffrey Xu",Context-aware object connection discovery in large graphs,2009.0,1
850512,1824,1741,incollection,"Marta Franov{\'{a}} and
Yves Kodratoff","Two Examples of Computational Creativity: {ILP} Multiple Predicate
Synthesis and the 'Assets' in Theorem Proving",2010,incollection,"Ning, Bo and Liu, Chengfei and Yu, Jeffrey Xu and Wang, Guoren and Li, Jianxin",Matching top-k answers of twig patterns in probabilistic XML,2010.0,0
146436,201,2052,inproceedings,"Lijun Chang and
Xuemin Lin and
Lu Qin and
Jeffrey Xu Yu and
Wenjie Zhang","Index-based Optimal Algorithms for Computing Steiner Components with
Maximum Connectivity",2015,inproceedings,"Chang, Lijun and Lin, Xuemin and Qin, Lu and Yu, Jeffrey Xu and Zhang, Wenjie",Index-based Optimal Algorithms for Computing Steiner Components with Maximum Connectivity,2015.0,1
785110,1593,2798,article,F. J. Smith,Adding intelligence to a scientific database,2004,misc,"Yu, Philip Shi-lung and Greene, David P and Stern, Edith H and Willner, Barry E",Systems and methods for distributing information to an operator of a vehicle,2004.0,0
264343,330,2397,inproceedings,"Haiping Wu and
Hongliang Yu and
Bigang Li and
Wei Xue and
Weimin Zheng",A Database Redo Log System Based on Virtual Memory Disk,2006,misc,"Aggarwal, Charu C and Philip, S Yu",Content based method for product-peer filtering,2002.0,0
