label,right_id,right_title
0,1,GoPro Camera Tethers@en  Miscellaneous Accessories | Unique Photo @en
1,2,Wi Fi Pan Tilt Day Night Camera@fi DCS-5000L Wi Camera | D-Link Finland@fi
0,3,Canon WD-H58@en  Canon WD-H58 Wide-angle camcorder lens at Crutchfield.com @en
0,4,Videocamera HD Cloud Wireless N@it DCS-2132L Videocamera N | D-Link Italia@it
0,5,GoPro Cargador de bateria Doble para Hero 3/ 3+@es 3+ @es
0,6,Nikon Telephoto AF Micro-Nikkor 105mm f/2.8G ED-IF AF-S VR (Vibration Reduction) Autofocus Lens@en Lens - Fumfie.com@en
0,7,Yellow Fujifilm Instax Mini 8 Camera@en  Yellow Camera | ConsumerCrafts @en
0,8,Silicon Power 32GB Elite micro SDHC UHS-1 Memory Card - with Adapter (SP032GBSTHBU1V20SP)@en-US Accessories Page 49 | Roaming Free Sims@en-US
0,9,"Transcend Ultimate - flash memory card 128 GB CompactFlash@en,  Transcend CompactFlash @en Prices CNET@en"
1,10,Sony Cybershot RX10 II@en
0,11,Cï¿½mera GoPro HERO4 Black@pt-BR C�mera Original Direto dos EUA@pt-BR
0,12,Sandisk 16GB Ultra CF - Prijzen @NL Tweakers@NL
0,13,Outdoor HD PoE Day/Night Cloud Camera@nb DCS-2310L Outdoor Camera | D-Link Norge@nb
0,14,Panasonic Capture Life On The Move - DMCGX85KK@en
1,15,D-Link DCS-5020L Cámara vigilancia inalámbrica diurna/nocturna en Red@es
0,16,Sigma Zoom Super Wide Angle 10-20mm f/4-5.6 EX DC HSM Autofocus Lens for Canon Digital SLR Cameras@en Cameras - Fumfie.com@en
0,17,EyeOn Pet Monitor HD 360@nb DCS-855L/P EyeOn 360 | D-Link Norge@nb
0,18,GoPro Dual Battery Charger@en Charger - AHBBP-301 Abt@en
0,19," 10.1 Megapixel Digital Camera with Manual Focus & Zoom Rings, Silver DMC-FZ50S @en, @en Panasonic Product Support - DMC-FZ50S@en"
1,20,Sony E PZ 16-50mm f3.5-5.6 OSS (E-Mount) (SELP1650)@en  Sony (SELP1650) | Digital SLR Camera Toronto Canada Store Cameras Aden @en
0,21,Cam�ra Gopro Hero5black@fr GoPro HERO5BLACK - Que-Du-Sport@fr
0,22,Fujifilm X100S Digital Camera (Silver)@en (Silver) - Fumfie.com@en
0,23," 12.1 Megapixel Digital Camera DMC-FS15K @en, @en Panasonic Product Support - DMC-FS15K@en"
0,24," Canon EF 70-200mm f/4L USM Telephoto Zoom Lens (for SLR Cameras) @en, Canon Cameras)@en Overview - CNET@en"
0,25," Lumix® 5 Megapixel Digital Camera @en, DMC-FZ20S @en Panasonic Product Support - DMC-FZ20S@en"
1,26,Full HD PoE Day/Night Network Camera@pt DCS-2210L Full Camera | D-Link Portugal@pt
0,27,Earthwise 18-Volt Lithium-Ion Battery Charger@en CHL91302
0,28,Canon EF 70-300mm F4-5.6L IS USM@en Aden Camera @en  Canon USM | Digital SLR Cameras Toronto Canada Store
1,29,GoPro HERO5 Black 4K Camera@en Camera - CHDHX-501@en
0,30,Nikon D610 DSLR Camera (Body Only)@en Only) - Fumfie.com@en
0,31,PowerLine HD Day Night Cloud Camera Kit@en DCS-6045LKT PowerLine Day/Night Kit | D-Link UK@en
0,32,Sandisk Ultra SDXC SD Memory Card Class 10 - UHS-I Fast 80MB/s 128GB@en
0,33,HD Wireless N Day/Night Outdoor Cloud Camera@nb DCS-2330L HD Camera | D-Link Norge@nb
0,34,"Canon 200DG Digital Camera Gadget Bag (Black)@en,  Canon (Black) @en Overview - CNET@en"
0,35,Sony Semi-Hard LCD Screen Protector for A7 or A7R Digital Camera@en  Miscellaneous Accessories | Unique Photo @en
0,36,Canon PowerShot A2300 (Black)@en Specs - CNET@en
1,37,Battery For Leica GEB212@en-us Teodoliti Battery Total Station Manufacturers Products Ni- @en-us Livelli Laser Stazioni Totali Suppliers Tacheometri kolida Kolida Strumenti Topografici
0,38,GoPro Protective Lens and Covers@en-US Accessories - Page 774 | EISF@en-US
0,39,Canon EOS 5D Mark II (body only)@en Prices - CNET@en
0,40,Canon EOS Rebel T5i Telephoto Kit@en  Canon Kit 18-megapixel digital SLR camera with hybrid autofocus and 18-135mm STM zoom lens at Crutchfield.com @en
0,41,GoPro Hero3+ Rechargeable Battery@en Battery LN53806 - AHDBT-302 | SCAN UK@en
1,42,Outdoor HD Wireless Day/Night Cloud Camera@pt DCS-2332L Outdoor Camera | D-Link Portugal@pt
0,43,GoPro Cargador de bateria Doble para Hero 3/ 3+@es 3+ @es
0,44,Manfrotto 190 MK190XPRO3-BHQ2 (kit) - Prijzen @NL Tweakers@NL
0,45,Caméra mydlink Cloud Wireless N avec fonction Panoramique/ Inclinaison/ Zoom@fr DCS-5222L Caméra Zoom | D-Link France@fr
0,46,Canon - EF 24-70mm f/2.8L II USM Standard Zoom Lens Black@en-US
0,47,"SanDisk Extreme Pro - flash memory card 32 GB SDHC UHS-II@en,  SanDisk UHS-II @en Prices CNET@en"
0,48,Nikon AF-S 105mm f/2.8 G VR Micro - Prijzen @NL Tweakers@NL
0,49,Canon EF 17-40mm f/4L USM@en  Canon USM L series wide-angle zoom lens for EOS SLR cameras at Crutchfield.com @en
0,50,Garmin Virb Head Strap Mount@en
0,51,Zewnętrzna kamera IP PoE HD Cloud@pl DCS-2310L Zewnętrzna Cloud | D-Link Polska@pl
0,52,Smart Home HD Starter Kit@sv DCH-100KT Smart Kit | D-Link Sweden@sv
0,53,Wireless N Day & Night Pan/Tilt Cloud Camera@es DCS-5020L Wireless Camera | D-Link España@es
0,54, Cámara CANON EOS Rebel T5i @es Cámara + Memoria 8GB Alkosto Tienda Online@es
0,55,Transcend 8GB Class 10 SDHC Memory Card@en  & Storage | Unique Photo @en
0,56,Manfrotto X-PRO 3-Way Camera Head - Black@en Black LN67517 MHXPRO-3W | SCAN UK@en
0,57,Sony Tripod VCT-R100 - Prijzen @NL Tweakers@NL
1,58,YI 4K ACTION CAMERA WITH SELFIE STICK + BLUETOOTH REMOTE Bundle 7@en
0,59,"Canon LC-E6 Battery Charger for Canon EOS 5D Mark II, 7D & 60D Digital SLR@en-US Accessories - Page 19 | EISF@en-US"
0,60,HD Outdoor Vandal Proof PoE Dome Kamera@de DCS-4602EV HD Kamera | D-Link Deutschland@de
0,61,Samsung NX300 Mirrorless Digital Camera with 20-50mm F/3.5-5.6 ED II Lens (White) + Accessory Bundle@en Bundle - Fumfie.com@en
1,62,Canon EOS 80D DSLR Camera (Body)@en  Canon (Body) | Digital SLR Toronto Canada Store Cameras Aden @en
1,63,Canon XF100 HD Video Camcorder@en  Canon Camcorder | Digital SLR Camera Aden @en Toronto Canada Store Cameras
0,64,Canon Lithium-Ion Battery Pack LP-E10 for EOS Rebel T3 Digital Camera@en (5108B002)@en
0,65,MCOCEAN Accessories Set for GoPro Hero 4 / 3 Plus 2 and Camera (33 Items)@en-US Camcorder Bundles - Page | Come As You Arts@en-US
0,66,HD Wireless Cloud Camera@fi DCS-2132L HD Camera | D-Link Finland@fi
0,67,Case Logic SLRC-202 Medium SLR Camera Bag (Black)@en-US Bags & Cases - Page 5 | EISF@en-US
1,68,MeFOTO - RoadTrip 61.6 Tripod Orange@en-US
1,69, HD Pan & Tilt Wi-Fi Day/Night Camera@de DCS-5030L Camera | D-Link Deutschland@de
0,70,MANFROTTO Befree Travel Tripod - Black@en Black LN67508 MKBFRA4-BH | SCAN UK@en
0,71,Canon LP-E17 Rechargeable Battery Pack@en
0,72,Canon EOS 60D (no lens included)@en  Canon included) 18-megapixel digital SLR camera body with HD video mode at Crutchfield.com @en
0,73, MeFOTO Aluminum Roadtrip Travel Tripod/Monopod Kit - Orange (A1350Q1C) @en-US MeFOTO | Come As You Arts@en-US
0,74,Sony A7RII Body@en
0,75,Netgear VMS3230-100EUS IP security camera Interior y exterior Bala Color blanco cámara de vigilancia@es D-Link Home Panoramic HD Camera DCS-8200LH 1280 x 720Pixeles - Blac... @es
1,76,Manfrotto Pro Light Camera Backpack 3N1-26 for DSLR/CSC/C100@en DSLR/CSC/C100 MB PL-3N1-26 - Studio Depot@en
0,77,EF 20mm f/2.8 USM@en Canon EF USM | Canon Online Store@en
0,78,HD Wireless Outdoor Cube Camera@de DCS-2332L HD Camera | D-Link Deutschland@de
0,79,SanDisk Extreme PRO 64GB up to 95MB/s UHS-I/U3 SDXC Flash Memory Card - SDSDXPA-064G-X46@en-US Accessories Page 3 | EISF@en-US
0,80,Sony HXR-NX5U/N NXCAM Professional Camcorder@en Camcorder - Fumfie.com@en
0,81,Sony - Alpha a6000 Mirrorless Camera with 16-50mm Retractable Lens Black@en-US
0,82,"Arlo Smart Home, Black UV-Resistant Silicone Skins Pack for Wireless CCTV HD Security Camera@en Camera LN68579 - VMA1200B-10000S | SCAN UK@en Home"
