id,label,ltable_id,ltable_title,rtable_id,rtable_title
0,0,1354,Fujifilm 4 In. x 610 Ft. Paper Crystal Archive Type II Lustre (Roll)@en  Fujifilm (Roll) | Photo at Unique @en,1354,Fujifilm Instax Mini Film Twin Pack (20 Pictures)@en  | Unique Photo @en
1,0,6736,Fujifilm Instax Mini 8 Instant Film Camera - Pink@en  Fujifilm Pink | FujiFilm at Unique Photo @en,6736,Canon 2400 Digital SLR Camera Case - Gadget Bag@en
2,0,9492,HD PoE Mini Dome Cloud Camera@sr DCS-6004L HD Camera | D-Link@sr,9492,Zewnętrzna kamera IP HD Cloud@pl Cloud | D-Link Polska@pl
3,0,4462, Maletín GOPRO Casey @es Maletín Alkomprar.com@es,4462,Case Logic SLRC-202 Medium SLR Camera Bag (Black)@en-US Bags & Cases - Page 5 | EISF@en-US
4,0,3303,"Pyle PLCMTR71 Weatherproof Rearview Backup Camera System Kit with 7â€™â€™ LCD Color Monitor, IR Night Vision Camera, Dual DC Voltage 12-24 for Bus, Truck, Trailer, Van@en-US Video Monitors | Come As You Arts@en-US",3303,GoPro Camera HERO+ LCD HD Video Recording Camera@en-US Video - Page 31 | EISF@en-US
5,1,8450,D-Link DCS-5000L Pan Tilt Dag & Nacht Camera - Prijzen @NL Tweakers@NL,8450,Wi Fi Pan Tilt Day Night Camera@da DCS-5000L Wi Camera | D-Link Denmark@da
6,0,3797,Sony - DSC-WX350 18.2-Megapixel Digital Camera Black@en-US,3797,Sony Alpha a6000 Mirrorless Digital Camera - Body only@en-US Mirrorless Bundles | EISF@en-US
7,0,2402,Canon EOS 80D DSLR Camera (Body)@en  Canon (Body) | Digital SLR Toronto Canada Store Cameras Aden @en,2402,"Canon EOS 6D Digital SLR Camera, 20.2MP (Body Only)@en Only) (8035B002)@en Camera"
8,0,1676,DCS-5020L mydlink Cloud IR WiFi panoram. Inclinaison Zoom@fr,1676,HD Wireless N Day/Night Outdoor Cloud Camera@en DCS-2330L HD Camera | D-Link UK@en
9,1,373,Cameron Sino Replacement battery for AEG 4932 BLL12C@en-US Chargers & Accessories - Page 241 | All Tech Toys@en-US Batteries,373,Cameron Sino Replacement battery for AEG 954932 BWS12CBWS@en-US Chargers & Accessories - Page 211 | All Tech Toys@en-US Batteries
10,0,8826,Canon EOS 80D DSLR Camera with 18-135mm Lens Video Creator Kit@en Kit (1263C103)@en,8826, Cámara CANON EOS Rebel SL1 @es Cámara Alkosto Tienda Online@es
11,0,7475,GoPro Head Strap + QuickClip Mount@en Mount ACHOM-001 - Filmtools@en,7475,GoPro Side Mount (GoPro Official Mount)@en-US Camcorders | EISF@en-US
