id,label,left_id,left_publisher,left_isbn,left_title,left_series,left_author,left_year,left_ENTRYTYPE,left_journal,left_number,left_volume,left_link,left_pages,left_booktitle,left_crossref,right_id,right_title,right_booktitle,right_author,right_pages,right_year,right_organization,right_ENTRYTYPE,right_publisher,right_journal,right_number,right_volume
0,1,280,0,0,Pattern Matching over Cloaked Time Series,0,Xiang Lian and Lei Chen and Jeffrey Xu Yu,2008,inproceedings,0,0,0,http://dx.doi.org/10.1109/ICDE.2008.4497590,1462--1464,"Proceedings of the 24th International Conference on Data Engineering, {ICDE} 2008, April 7-12, 2008, Canc{\'{u}}n, M{\'{e}}xico",DBLP:conf/icde/2008,1717,Pattern matching over cloaked time series,"Data Engineering, 2008. ICDE 2008. IEEE 24th International Conference on","Lian, Xiang and Chen, Lei and Yu, Jeffrey Xu",1462--1464,2008,IEEE,inproceedings,0,0,0,
1,1,226,0,0,PBiTree Coding and Efficient Processing of Containment Joins,0,Wei Wang and Haifeng Jiang and Hongjun Lu and Jeffrey Xu Yu,2003,inproceedings,0,0,0,http://dx.doi.org/10.1109/ICDE.2003.1260808,391--402,"Proceedings of the 19th International Conference on Data Engineering, March 5-8, 2003, Bangalore, India",DBLP:conf/icde/2003,1673,PBiTree coding and efficient processing of containment joins,"Data Engineering, 2003. Proceedings. 19th International Conference on","Wang, Wei and Jiang, Haigeng and Lu, Hongjun and Yu, Jeffrey Xu",391--402,2003,IEEE,inproceedings,0,0,0,
2,0,2431,0,0,Data Grid discovery and Semantic Web technologies for the earth sciences,0,Line Pouchard and Andrew Woolf and David E. Bernholdt,2005,article,Int. J. on Digital Libraries,2,5,http://dx.doi.org/10.1007/s00799-004-0085-9,72--83,0,0,1373,Neural network-based retrieval from software reuse repositories,0,"Eichmann, David and Srinivas, Kankanaha11i",215--228,1992,0,article,0,"Neural Networks and Pattern Recognition in Human Computer Interaction, R. Beale and J. Findlay, eds",0,
3,0,2095,0,0,An Introduction to Variational Methods for Graphical Models,0,Michael I. Jordan and Zoubin Ghahramani and Tommi S. Jaakkola and Lawrence K. Saul,1999,article,Machine Learning,2,37,http://dx.doi.org/10.1023/A:1007665907178,183--233,0,0,906,"Advances in Database Technology-EDBT 2002: 8th International Conference on Extending Database Technology, Prague, Czech Republic, March 25-27, Proceedings",0,"Jensen, Christian S and Jeffery, Keith G and Pokorny, Jaroslav and Saltenis, Simonas and Bertino, Elisa and B{\o}hm, Klemens and Jarke, Matthias",0,2003,0,book,Springer,0,0,2287
4,0,2644,0,0,Is machine learning losing the battle to produce transportable signatures against VoIP traffic?,0,Riyad Alshammari and A. Nur Zincir{-}Heywood,2011,inproceedings,0,0,0,http://dx.doi.org/10.1109/CEC.2011.5949799,1543--1550,"Proceedings of the {IEEE} Congress on Evolutionary Computation, {CEC} 2011, New Orleans, LA, USA, 5-8 June, 2011",DBLP:conf/cec/2011,1821,iGraph in action: performance analysis of disk-based graph indexing techniques,Proceedings of the 2011 ACM SIGMOD International Conference on Management of data,"Han, Wook-Shin and Pham, Minh-Duc and Lee, Jinsoo and Kasperovics, Romans and Yu, Jeffrey Xu",1241--1242,2011,ACM,inproceedings,0,0,0,
5,0,164,0,0,Safe Database Queries with External Functions,0,Hong{-}Cheu Liu and Jeffrey Xu Yu,1999,inproceedings,0,0,0,http://dx.doi.org/10.1109/IDEAS.1999.787276,260--269,"1999 International Database Engineering and Applications Symposium, {IDEAS} 1999, Montreal, Canada, August 2-4, 1999, Proceedings",DBLP:conf/ideas/1999,2387,Crossmine: Efficient classification across multiple database relations,Constraint-Based mining and inductive databases,"Yin, Xiaoxin and Han, Jiawei and Yang, Jiong and Philip, S Yu",172--195,2006,0,incollection,Springer Berlin Heidelberg,0,0,
6,0,2310,0,0,Simultaneous Relevant Feature Identification and Classification in High-Dimensional Spaces,0,L. R. Grate and Chiranjib Bhattacharyya and Michael I. Jordan and I. Saira Mian,2002,inproceedings,0,0,0,http://dx.doi.org/10.1007/3-540-45784-4_1,1--9,"Algorithms in Bioinformatics, Second International Workshop, {WABI} 2002, Rome, Italy, September 17-21, 2002, Proceedings",DBLP:conf/wabi/2002,1598,XParent: An efficient RDBMS-based XML database system,"Data Engineering, 2002. Proceedings. 18th International Conference on","Jiang, Haifeng and Lu, Hongjun and Wang, Wei and Yu, Jeffrey Xu",335--336,2002,IEEE,inproceedings,0,0,0,
7,0,130,0,0,Materialized view selection as constrained evolutionary optimization,0,Jeffrey Xu Yu and Xin Yao and Chi{-}Hon Choi and Gang Gou,2003,article,"{IEEE} Transactions on Systems, Man, and Cybernetics, Part {C}",4,33,http://dx.doi.org/10.1109/TSMCC.2003.818494,458--467,0,0,2893,Efficient processing of continual range queries for location-aware mobile services,0,"Wu, Kun-Lung and Chen, Shyh-Kwei and Philip, S Yu",435--448,2005,0,article,Kluwer Academic Publishers,Information Systems Frontiers,05-Apr,7
8,0,287,0,0,Application Benchmark,0,Denilson Barbosa and Ioana Manolescu and Jeffrey Xu Yu,2009,incollection,0,0,0,http://dx.doi.org/10.1007/978-0-387-39940-9_5055,99--100,Encyclopedia of Database Systems,DBLP:reference/db/2009,2719,An improved biclustering method for analyzing gene expression profiles,0,"Yang, Jiong and Wang, Haixun and Wang, Wei and Yu, Philip S",771--789,2005,0,article,World Scientific Publishing Company,International Journal on Artificial Intelligence Tools,5,14
9,1,2234,0,0,Bayesian Nonparametric Inference of Switching Dynamic Linear Models,0,Emily B. Fox and Erik B. Sudderth and Michael I. Jordan and Alan S. Willsky,2011,article,{IEEE} Transactions on Signal Processing,4,59,http://dx.doi.org/10.1109/TSP.2010.2102756,1569--1585,0,0,2221,Bayesian nonparametric inference of switching dynamic linear models,0,"Fox, Emily and Sudderth, Erik and Jordan, Michael and Willsky, Alan",1569--1585,2011,0,article,IEEE,"Signal Processing, IEEE Transactions on",4,59
10,0,138,0,0,XPath Rewriting Using Multiple Views,0,Junhu Wang and Jeffrey Xu Yu,2008,inproceedings,0,0,0,http://dx.doi.org/10.1007/978-3-540-85654-2_43,493--507,"Database and Expert Systems Applications, 19th International Conference, {DEXA} 2008, Turin, Italy, September 1-5, 2008. Proceedings",DBLP:conf/dexa/2008,1624,Keyword search in databases,0,"Yu, Jeffrey Xu and Qin, Lu and Chang, Lijun",1--155,2009,0,article,Morgan \& Claypool Publishers,Synthesis Lectures on Data Management,1,1
11,0,2108,0,0,An Alternative Model for Mixtures of Experts,0,Lei Xu and Michael I. Jordan and Geoffrey E. Hinton,1994,inproceedings,0,0,0,http://papers.nips.cc/paper/906-an-alternative-model-for-mixtures-of-experts,633--640,"Advances in Neural Information Processing Systems 7, {[NIPS} Conference, Denver, Colorado, USA, 1994]",DBLP:conf/nips/1994,1146,An alternative model for mixtures of experts,0,"Xu, Lei and Jordan, Michael I and Hinton, Geoffrey E",633--640,1995,0,article,MORGAN KAUFMANN PUBLISHERS,Advances in neural information processing systems,0,
12,0,62,0,0,Average-Payoff Reinforcement Learning,0,0,2010,incollection,0,0,0,http://dx.doi.org/10.1007/978-0-387-30164-8_892,64,Encyclopedia of Machine Learning,DBLP:reference/ml/2010,1918,Fires on the web: Towards efficient exploring historical web graphs,Database Systems for Advanced Applications,"Yang, Zhenglu and Yu, Jeffrey Xu and Liu, Zheng and Kitsuregawa, Masaru",612--626,2010,0,incollection,Springer Berlin Heidelberg,0,0,
13,0,2380,0,0,Probabilistic Graphical Models and Machine Learning,0,Sargur N. Srihari,2011,inproceedings,0,0,0,0,1,"Proceedings of the 5th Indian International Conference on Artificial Intelligence, {IICAI} 2011, Tumkur, Karnataka State, India, December 14-16, 2011",DBLP:conf/iicai/2011,1298,Discovering binary codes for documents by learning deep generative models,0,"Hinton, Geoffrey and Salakhutdinov, Ruslan",74--91,2011,0,article,Blackwell Publishing Ltd,Topics in Cognitive Science,1,3
14,0,242,0,0,Containment Join Size Estimation: Models and Methods,0,Wei Wang and Haifeng Jiang and Hongjun Lu and Jeffrey Xu Yu,2003,inproceedings,0,0,0,http://doi.acm.org/10.1145/872757.872777,145--156,"Proceedings of the 2003 {ACM} {SIGMOD} International Conference on Management of Data, San Diego, California, USA, June 9-12, 2003",DBLP:conf/sigmod/2003,2494,Proximity Tracking on Time-Evolving Bipartite Graphs.,0,"Tong, Hanghang and Papadimitriou, Spiros and Philip, S Yu and Faloutsos, Christos",704--715,2008,0,article,0,SDM,0,8
15,0,633,0,0,A Break for Workaholics: Energy-Efficient Selective Tuning Mechanisms for Demand-Driven-Based Wireless Environment,0,Kian{-}Lee Tan and Jeffrey Xu Yu,1997,inproceedings,0,0,0,0,165--174,"Database Systems for Advanced Applications '97, Proceedings of the Fifth International Conference on Database Systems for Advanced Applications (DASFAA), Melbourne, Australia, April 1-4, 1997",DBLP:conf/dasfaa/97,2024,A break for workaholics: Energy-efficient selective tuning mechanisms for demand-driven-based wireless environment,Proceedings of the 5th International Conference on Database Systems for Advanced Applications,"Tan, Kian-Lee and Yu, JX",87--94,1995,0,incollection,0,0,0,
16,0,637,0,0,Efficient Core Maintenance in Large Dynamic Graphs,0,Rong{-}Hua Li and Jeffrey Xu Yu,2012,article,CoRR,0,abs/1207.4567,http://arxiv.org/abs/1207.4567,0,0,0,2720,Effective estimation of posterior probabilities: Explaining the accuracy of randomized decision tree approaches,"Data Mining, Fifth IEEE International Conference on","Fan, Wei and Greengrass, Ed and McCloskey, Joe and Yu, Philip S and Drammey, K",8--pp,2005,IEEE,inproceedings,0,0,0,
17,1,277,0,0,A Balanced Ensemble Approach to Weighting Classifiers for Text Classification,0,Gabriel Pui Cheong Fung and Jeffrey Xu Yu and Haixun Wang and David W. Cheung and Huan Liu,2006,inproceedings,0,0,0,http://dx.doi.org/10.1109/ICDM.2006.2,869--873,"Proceedings of the 6th {IEEE} International Conference on Data Mining {(ICDM} 2006), 18-22 December 2006, Hong Kong, China",DBLP:conf/icdm/2006,1751,A balanced ensemble approach to weighting classifiers for text classification,"Data Mining, 2006. ICDM'06. Sixth International Conference on","Fung, Gabriel Pui Cheong and Yu, Jeffrey Xu and Wang, Haixun and Cheung, David W and Liu, Huan",869--873,2006,IEEE,inproceedings,0,0,0,
18,1,2123,0,0,Privacy Aware Learning,0,John C. Duchi and Michael I. Jordan and Martin J. Wainwright,2012,inproceedings,0,0,0,http://papers.nips.cc/paper/4505-privacy-aware-learning,1439--1447,"Advances in Neural Information Processing Systems 25: 26th Annual Conference on Neural Information Processing Systems 2012. Proceedings of a meeting held December 3-6, 2012, Lake Tahoe, Nevada, United States.",DBLP:conf/nips/2012,2306,Privacy aware learning,Advances in Neural Information Processing Systems,"Wainwright, Martin J and Jordan, Michael I and Duchi, John C",1430--1438,2012,0,inproceedings,0,0,0,
19,0,915,0,0,Application of machine learning methods to histone methylation ChIP-Seq data reveals H4R3me2 globally represses gene expression,0,Xiaojiang Xu and Stephen Hoang and Marty W. Mayo and Stefan Bekiranov,2010,article,{BMC} Bioinformatics,0,11,http://dx.doi.org/10.1186/1471-2105-11-396,396,0,0,2969,Geiger: monitoring the buffer cache in a virtual machine environment,ACM SIGOPS Operating Systems Review,"Jones, Stephen T and Arpaci-Dusseau, Andrea C and Arpaci-Dusseau, Remzi H",14--24,2006,ACM,inproceedings,0,0,5,40
