measure,sens_attr,is_fair,counts
accuracy_parity,canon,True,693.0
accuracy_parity,sony,True,292.0
accuracy_parity,leica,True,36.0
accuracy_parity,pentax,True,29.0
accuracy_parity,d-link,True,445.0
accuracy_parity,gopro,True,314.0
accuracy_parity,sandisk,True,88.0
accuracy_parity,fujifilm,True,95.0
accuracy_parity,sigma,True,82.0
accuracy_parity,manfrotto,True,119.0
accuracy_parity,transcend,True,85.0
accuracy_parity,nikon,True,140.0
accuracy_parity,panasonic,True,161.0
accuracy_parity,other,True,291.0
accuracy_parity,kupo,True,32.0
accuracy_parity,arlo,True,25.0
accuracy_parity,logitech,True,6.0
accuracy_parity,garmin,True,27.0
accuracy_parity,kingston,True,13.0
accuracy_parity,chromo,True,11.0
accuracy_parity,samsung,True,8.0
accuracy_parity,vigilance,True,53.0
accuracy_parity,veho,True,36.0
accuracy_parity,olympus,True,10.0
accuracy_parity,mefoto,True,16.0
accuracy_parity,netgear,True,38.0
accuracy_parity,tamron,True,13.0
accuracy_parity,neewer,True,9.0
accuracy_parity,case logic,True,11.0
accuracy_parity,vanguard,True,14.0
statistical_parity,canon,True,693.0
statistical_parity,sony,True,292.0
statistical_parity,leica,True,36.0
statistical_parity,pentax,True,29.0
statistical_parity,d-link,True,445.0
statistical_parity,gopro,True,314.0
statistical_parity,sandisk,True,88.0
statistical_parity,fujifilm,True,95.0
statistical_parity,sigma,True,82.0
statistical_parity,manfrotto,True,119.0
statistical_parity,transcend,True,85.0
statistical_parity,nikon,True,140.0
statistical_parity,panasonic,True,161.0
statistical_parity,other,True,291.0
statistical_parity,kupo,True,32.0
statistical_parity,arlo,True,25.0
statistical_parity,logitech,True,6.0
statistical_parity,garmin,True,27.0
statistical_parity,kingston,True,13.0
statistical_parity,chromo,True,11.0
statistical_parity,samsung,True,8.0
statistical_parity,vigilance,True,53.0
statistical_parity,veho,True,36.0
statistical_parity,olympus,True,10.0
statistical_parity,mefoto,True,16.0
statistical_parity,netgear,True,38.0
statistical_parity,tamron,True,13.0
statistical_parity,neewer,True,9.0
statistical_parity,case logic,True,11.0
statistical_parity,vanguard,True,14.0
true_positive_rate_parity,canon,True,693.0
true_positive_rate_parity,sony,True,292.0
true_positive_rate_parity,leica,True,36.0
true_positive_rate_parity,pentax,True,29.0
true_positive_rate_parity,d-link,True,445.0
true_positive_rate_parity,gopro,True,314.0
true_positive_rate_parity,sandisk,True,88.0
true_positive_rate_parity,fujifilm,True,95.0
true_positive_rate_parity,sigma,True,82.0
true_positive_rate_parity,manfrotto,True,119.0
true_positive_rate_parity,transcend,True,85.0
true_positive_rate_parity,nikon,True,140.0
true_positive_rate_parity,panasonic,True,161.0
true_positive_rate_parity,other,False,291.0
true_positive_rate_parity,kupo,True,32.0
true_positive_rate_parity,arlo,True,25.0
true_positive_rate_parity,logitech,True,6.0
true_positive_rate_parity,garmin,False,27.0
true_positive_rate_parity,kingston,True,13.0
true_positive_rate_parity,chromo,True,11.0
true_positive_rate_parity,samsung,True,8.0
true_positive_rate_parity,vigilance,True,53.0
true_positive_rate_parity,veho,True,36.0
true_positive_rate_parity,olympus,True,10.0
true_positive_rate_parity,mefoto,True,16.0
true_positive_rate_parity,netgear,False,38.0
true_positive_rate_parity,tamron,True,13.0
true_positive_rate_parity,neewer,True,9.0
true_positive_rate_parity,case logic,False,11.0
true_positive_rate_parity,vanguard,True,14.0
false_positive_rate_parity,canon,True,693.0
false_positive_rate_parity,sony,True,292.0
false_positive_rate_parity,leica,True,36.0
false_positive_rate_parity,pentax,True,29.0
false_positive_rate_parity,d-link,True,445.0
false_positive_rate_parity,gopro,True,314.0
false_positive_rate_parity,sandisk,True,88.0
false_positive_rate_parity,fujifilm,True,95.0
false_positive_rate_parity,sigma,True,82.0
false_positive_rate_parity,manfrotto,True,119.0
false_positive_rate_parity,transcend,True,85.0
false_positive_rate_parity,nikon,True,140.0
false_positive_rate_parity,panasonic,True,161.0
false_positive_rate_parity,other,True,291.0
false_positive_rate_parity,kupo,True,32.0
false_positive_rate_parity,arlo,True,25.0
false_positive_rate_parity,logitech,True,6.0
false_positive_rate_parity,garmin,True,27.0
false_positive_rate_parity,kingston,True,13.0
false_positive_rate_parity,chromo,True,11.0
false_positive_rate_parity,samsung,True,8.0
false_positive_rate_parity,vigilance,True,53.0
false_positive_rate_parity,veho,True,36.0
false_positive_rate_parity,olympus,True,10.0
false_positive_rate_parity,mefoto,True,16.0
false_positive_rate_parity,netgear,True,38.0
false_positive_rate_parity,tamron,True,13.0
false_positive_rate_parity,neewer,True,9.0
false_positive_rate_parity,case logic,True,11.0
false_positive_rate_parity,vanguard,True,14.0
negative_predictive_value_parity,canon,True,693.0
negative_predictive_value_parity,sony,True,292.0
negative_predictive_value_parity,leica,True,36.0
negative_predictive_value_parity,pentax,True,29.0
negative_predictive_value_parity,d-link,True,445.0
negative_predictive_value_parity,gopro,True,314.0
negative_predictive_value_parity,sandisk,True,88.0
negative_predictive_value_parity,fujifilm,True,95.0
