measure,sens_attr,is_fair,counts
accuracy_parity,canon | canon,True,496.0
accuracy_parity,sony | sony,True,132.0
accuracy_parity,leica | pentax,False,7.0
accuracy_parity,d-link | d-link,True,342.0
accuracy_parity,gopro | gopro,True,218.0
accuracy_parity,sandisk | sandisk,True,46.0
accuracy_parity,fujifilm | sigma,True,5.0
accuracy_parity,manfrotto | manfrotto,True,72.0
accuracy_parity,transcend | transcend,True,40.0
accuracy_parity,nikon | sony,True,12.0
accuracy_parity,canon | panasonic,True,22.0
accuracy_parity,fujifilm | nikon,True,7.0
accuracy_parity,d-link | other,True,38.0
accuracy_parity,nikon | nikon,True,56.0
accuracy_parity,canon | nikon,True,21.0
accuracy_parity,panasonic | panasonic,True,80.0
accuracy_parity,canon | other,True,43.0
accuracy_parity,kupo | kupo,True,12.0
accuracy_parity,fujifilm | sony,True,13.0
accuracy_parity,leica | leica,False,14.0
accuracy_parity,arlo | other,True,5.0
accuracy_parity,gopro | leica,True,6.0
accuracy_parity,nikon | pentax,True,1.0
accuracy_parity,logitech | logitech,True,4.0
accuracy_parity,garmin | gopro,True,7.0
accuracy_parity,gopro | kingston,True,1.0
accuracy_parity,sigma | sigma,True,33.0
accuracy_parity,canon | sony,True,48.0
accuracy_parity,chromo | panasonic,True,2.0
accuracy_parity,gopro | nikon,True,4.0
accuracy_parity,leica | sony,True,2.0
accuracy_parity,canon | leica,True,4.0
accuracy_parity,other | other,True,48.0
accuracy_parity,garmin | other,True,9.0
accuracy_parity,fujifilm | samsung,True,1.0
accuracy_parity,other | vigilance,True,7.0
accuracy_parity,canon | fujifilm,True,9.0
accuracy_parity,manfrotto | sony,True,10.0
accuracy_parity,d-link | panasonic,True,5.0
accuracy_parity,veho | veho,True,16.0
accuracy_parity,other | sony,True,24.0
accuracy_parity,canon | olympus,True,2.0
accuracy_parity,chromo | nikon,True,2.0
accuracy_parity,panasonic | sony,True,16.0
accuracy_parity,nikon | sigma,True,7.0
accuracy_parity,other | sandisk,True,17.0
accuracy_parity,canon | pentax,True,3.0
accuracy_parity,arlo | d-link,True,6.0
accuracy_parity,fujifilm | fujifilm,True,30.0
accuracy_parity,kingston | transcend,True,7.0
accuracy_parity,gopro | panasonic,True,6.0
accuracy_parity,canon | gopro,True,14.0
accuracy_parity,chromo | chromo,True,3.0
accuracy_parity,manfrotto | mefoto,True,6.0
