measure,sens_attr,is_fair,counts
accuracy_parity,en,True,4487.0
accuracy_parity,other,True,907.0
accuracy_parity,pl,True,106.0
accuracy_parity,es,True,740.0
accuracy_parity,fr,True,329.0
accuracy_parity,bg,True,55.0
accuracy_parity,it,True,187.0
accuracy_parity,de,True,155.0
accuracy_parity,sv,True,52.0
accuracy_parity,cs,True,34.0
accuracy_parity,nb,True,69.0
accuracy_parity,nl,True,100.0
accuracy_parity,pt,True,113.0
accuracy_parity,us,True,18.0
statistical_parity,en,True,4487.0
statistical_parity,other,True,907.0
statistical_parity,pl,True,106.0
statistical_parity,es,True,740.0
statistical_parity,fr,True,329.0
statistical_parity,bg,True,55.0
statistical_parity,it,True,187.0
statistical_parity,de,True,155.0
statistical_parity,sv,True,52.0
statistical_parity,cs,True,34.0
statistical_parity,nb,True,69.0
statistical_parity,nl,True,100.0
statistical_parity,pt,True,113.0
statistical_parity,us,True,18.0
true_positive_rate_parity,en,True,4487.0
true_positive_rate_parity,other,True,907.0
true_positive_rate_parity,pl,True,106.0
true_positive_rate_parity,es,True,740.0
true_positive_rate_parity,fr,True,329.0
true_positive_rate_parity,bg,True,55.0
true_positive_rate_parity,it,True,187.0
true_positive_rate_parity,de,True,155.0
true_positive_rate_parity,sv,True,52.0
true_positive_rate_parity,cs,True,34.0
true_positive_rate_parity,nb,True,69.0
true_positive_rate_parity,nl,True,100.0
true_positive_rate_parity,pt,True,113.0
true_positive_rate_parity,us,True,18.0
false_positive_rate_parity,en,True,4487.0
false_positive_rate_parity,other,True,907.0
false_positive_rate_parity,pl,True,106.0
false_positive_rate_parity,es,True,740.0
false_positive_rate_parity,fr,True,329.0
false_positive_rate_parity,bg,True,55.0
false_positive_rate_parity,it,True,187.0
false_positive_rate_parity,de,True,155.0
false_positive_rate_parity,sv,True,52.0
false_positive_rate_parity,cs,True,34.0
false_positive_rate_parity,nb,True,69.0
false_positive_rate_parity,nl,True,100.0
false_positive_rate_parity,pt,True,113.0
false_positive_rate_parity,us,True,18.0
negative_predictive_value_parity,en,True,4487.0
negative_predictive_value_parity,other,True,907.0
negative_predictive_value_parity,pl,True,106.0
negative_predictive_value_parity,es,True,740.0
negative_predictive_value_parity,fr,True,329.0
negative_predictive_value_parity,bg,True,55.0
negative_predictive_value_parity,it,True,187.0
negative_predictive_value_parity,de,True,155.0
negative_predictive_value_parity,sv,True,52.0
negative_predictive_value_parity,cs,True,34.0
negative_predictive_value_parity,nb,True,69.0
negative_predictive_value_parity,nl,True,100.0
negative_predictive_value_parity,pt,True,113.0
negative_predictive_value_parity,us,True,18.0
positive_predictive_value_parity,en,True,4487.0
positive_predictive_value_parity,other,True,907.0
positive_predictive_value_parity,pl,True,106.0
positive_predictive_value_parity,es,True,740.0
positive_predictive_value_parity,fr,True,329.0
positive_predictive_value_parity,bg,True,55.0
positive_predictive_value_parity,it,True,187.0
positive_predictive_value_parity,de,True,155.0
positive_predictive_value_parity,sv,True,52.0
positive_predictive_value_parity,cs,True,34.0
positive_predictive_value_parity,nb,True,69.0
positive_predictive_value_parity,nl,True,100.0
positive_predictive_value_parity,pt,True,113.0
positive_predictive_value_parity,us,True,18.0
