measure,sens_attr,is_fair,counts
accuracy_parity,en | en,True,3373.0
accuracy_parity,other | pl,True,23.0
accuracy_parity,en | es,True,350.0
accuracy_parity,other | other,True,117.0
accuracy_parity,en | fr,True,126.0
accuracy_parity,bg | it,True,3.0
accuracy_parity,bg | es,True,13.0
accuracy_parity,en | other,True,462.0
accuracy_parity,it | pl,True,10.0
accuracy_parity,es | fr,True,47.0
accuracy_parity,es | other,True,115.0
accuracy_parity,fr | other,True,49.0
accuracy_parity,de | en,True,25.0
accuracy_parity,pl | sv,True,3.0
accuracy_parity,cs | other,True,9.0
accuracy_parity,es | es,True,73.0
accuracy_parity,en | nb,True,5.0
accuracy_parity,nl | pl,True,7.0
accuracy_parity,other | pt,True,23.0
accuracy_parity,de | nl,True,9.0
accuracy_parity,en | sv,True,2.0
accuracy_parity,fr | it,True,21.0
accuracy_parity,nb | other,True,13.0
accuracy_parity,en | it,True,48.0
accuracy_parity,de | other,True,33.0
accuracy_parity,cs | en,True,4.0
accuracy_parity,fr | nb,True,4.0
accuracy_parity,pl | pl,True,3.0
accuracy_parity,es | it,True,36.0
accuracy_parity,fr | sv,True,8.0
accuracy_parity,en | nl,True,35.0
accuracy_parity,fr | pt,True,6.0
accuracy_parity,es | pl,True,24.0
accuracy_parity,de | pl,True,8.0
accuracy_parity,it | other,True,24.0
accuracy_parity,de | es,True,23.0
accuracy_parity,nl | other,True,19.0
accuracy_parity,cs | pl,True,2.0
accuracy_parity,en | us,True,11.0
accuracy_parity,it | nb,True,9.0
accuracy_parity,en | pt,True,35.0
accuracy_parity,bg | sv,True,4.0
accuracy_parity,it | it,True,8.0
accuracy_parity,other | sv,True,9.0
accuracy_parity,nb | pt,True,6.0
accuracy_parity,es | sv,True,15.0
accuracy_parity,pl | pt,True,5.0
accuracy_parity,cs | nb,True,1.0
accuracy_parity,fr | us,True,3.0
accuracy_parity,de | nb,True,6.0
accuracy_parity,fr | fr,True,18.0
accuracy_parity,bg | other,True,9.0
accuracy_parity,es | pt,True,15.0
accuracy_parity,de | it,True,15.0
accuracy_parity,nb | nb,True,1.0
accuracy_parity,fr | pl,True,10.0
accuracy_parity,fr | nl,True,6.0
accuracy_parity,de | fr,True,17.0
accuracy_parity,es | nb,True,17.0
accuracy_parity,en | pl,True,7.0
accuracy_parity,cs | it,True,3.0
accuracy_parity,cs | pt,True,1.0
accuracy_parity,de | de,True,3.0
accuracy_parity,bg | fr,True,8.0
accuracy_parity,pt | sv,True,2.0
