measure,sens_attr,is_fair,counts
accuracy_parity,Right,True,788.0
accuracy_parity,Left,True,226.0
statistical_parity,Right,True,788.0
statistical_parity,Left,True,226.0
true_positive_rate_parity,Right,True,788.0
true_positive_rate_parity,Left,True,226.0
false_positive_rate_parity,Right,True,788.0
false_positive_rate_parity,Left,True,226.0
negative_predictive_value_parity,Right,True,788.0
negative_predictive_value_parity,Left,True,226.0
positive_predictive_value_parity,Right,True,788.0
positive_predictive_value_parity,Left,True,226.0
