measure,sens_attr,is_fair,counts
accuracy_parity,article,True,63.0
accuracy_parity,inproceedings,True,74.0
accuracy_parity,other,True,9.0
accuracy_parity,incollection,True,13.0
statistical_parity,article,True,63.0
statistical_parity,inproceedings,True,74.0
statistical_parity,other,True,9.0
statistical_parity,incollection,True,13.0
true_positive_rate_parity,article,True,63.0
true_positive_rate_parity,inproceedings,True,74.0
true_positive_rate_parity,other,True,9.0
true_positive_rate_parity,incollection,True,13.0
false_positive_rate_parity,article,True,63.0
false_positive_rate_parity,inproceedings,True,74.0
false_positive_rate_parity,other,True,9.0
false_positive_rate_parity,incollection,True,13.0
negative_predictive_value_parity,article,True,63.0
negative_predictive_value_parity,inproceedings,True,74.0
negative_predictive_value_parity,other,True,9.0
negative_predictive_value_parity,incollection,True,13.0
positive_predictive_value_parity,article,False,63.0
positive_predictive_value_parity,inproceedings,True,74.0
positive_predictive_value_parity,other,False,9.0
positive_predictive_value_parity,incollection,False,13.0
