measure,sens_attr,is_fair,counts
accuracy_parity,article | article,True,14.0
accuracy_parity,article | inproc.,True,38.0
accuracy_parity,article | other,True,5.0
accuracy_parity,inproc. | inproc.,True,26.0
accuracy_parity,article | incollection,True,6.0
accuracy_parity,incollection | inproc.,False,6.0
accuracy_parity,inproc. | other,True,4.0
accuracy_parity,incollection | incollection,True,1.0
statistical_parity,article | article,True,14.0
statistical_parity,article | inproc.,True,38.0
statistical_parity,article | other,True,5.0
statistical_parity,inproc. | inproc.,True,26.0
statistical_parity,article | incollection,True,6.0
statistical_parity,incollection | inproc.,True,6.0
statistical_parity,inproc. | other,True,4.0
statistical_parity,incollection | incollection,True,1.0
true_positive_rate_parity,article | article,True,14.0
true_positive_rate_parity,article | inproc.,True,38.0
true_positive_rate_parity,article | other,True,5.0
true_positive_rate_parity,inproc. | inproc.,True,26.0
true_positive_rate_parity,article | incollection,True,6.0
true_positive_rate_parity,incollection | inproc.,True,6.0
true_positive_rate_parity,inproc. | other,True,4.0
true_positive_rate_parity,incollection | incollection,True,1.0
false_positive_rate_parity,article | article,True,14.0
false_positive_rate_parity,article | inproc.,True,38.0
false_positive_rate_parity,article | other,True,5.0
false_positive_rate_parity,inproc. | inproc.,True,26.0
false_positive_rate_parity,article | incollection,True,6.0
false_positive_rate_parity,incollection | inproc.,False,6.0
false_positive_rate_parity,inproc. | other,True,4.0
false_positive_rate_parity,incollection | incollection,False,1.0
negative_predictive_value_parity,article | article,True,14.0
negative_predictive_value_parity,article | inproc.,True,38.0
negative_predictive_value_parity,article | other,True,5.0
negative_predictive_value_parity,inproc. | inproc.,True,26.0
negative_predictive_value_parity,article | incollection,True,6.0
negative_predictive_value_parity,incollection | inproc.,True,6.0
negative_predictive_value_parity,inproc. | other,True,4.0
negative_predictive_value_parity,incollection | incollection,True,1.0
positive_predictive_value_parity,article | article,True,14.0
positive_predictive_value_parity,article | inproc.,False,38.0
positive_predictive_value_parity,article | other,True,5.0
positive_predictive_value_parity,inproc. | inproc.,True,26.0
positive_predictive_value_parity,article | incollection,True,6.0
positive_predictive_value_parity,incollection | inproc.,False,6.0
positive_predictive_value_parity,inproc. | other,True,4.0
positive_predictive_value_parity,incollection | incollection,True,1.0
