measure,sens_attr,is_fair,counts
accuracy_parity,inproceedings | inproceedings,True,56.0
accuracy_parity,article | article,True,66.0
accuracy_parity,article | other,True,6.0
accuracy_parity,incollection | inproceedings,True,16.0
accuracy_parity,article | incollection,True,6.0
accuracy_parity,article | inproceedings,True,61.0
accuracy_parity,incollection | incollection,True,3.0
accuracy_parity,inproceedings | other,True,10.0
accuracy_parity,incollection | other,True,1.0
statistical_parity,inproceedings | inproceedings,True,56.0
statistical_parity,article | article,True,66.0
statistical_parity,article | other,False,6.0
statistical_parity,incollection | inproceedings,True,16.0
statistical_parity,article | incollection,False,6.0
statistical_parity,article | inproceedings,False,61.0
statistical_parity,incollection | incollection,True,3.0
statistical_parity,inproceedings | other,False,10.0
statistical_parity,incollection | other,False,1.0
true_positive_rate_parity,inproceedings | inproceedings,True,56.0
true_positive_rate_parity,article | article,True,66.0
true_positive_rate_parity,article | other,False,6.0
true_positive_rate_parity,incollection | inproceedings,True,16.0
true_positive_rate_parity,article | incollection,False,6.0
true_positive_rate_parity,article | inproceedings,False,61.0
true_positive_rate_parity,incollection | incollection,True,3.0
true_positive_rate_parity,inproceedings | other,False,10.0
true_positive_rate_parity,incollection | other,False,1.0
false_positive_rate_parity,inproceedings | inproceedings,True,56.0
false_positive_rate_parity,article | article,True,66.0
false_positive_rate_parity,article | other,True,6.0
false_positive_rate_parity,incollection | inproceedings,True,16.0
false_positive_rate_parity,article | incollection,True,6.0
false_positive_rate_parity,article | inproceedings,True,61.0
false_positive_rate_parity,incollection | incollection,True,3.0
false_positive_rate_parity,inproceedings | other,True,10.0
false_positive_rate_parity,incollection | other,True,1.0
negative_predictive_value_parity,inproceedings | inproceedings,True,56.0
negative_predictive_value_parity,article | article,True,66.0
negative_predictive_value_parity,article | other,True,6.0
negative_predictive_value_parity,incollection | inproceedings,True,16.0
negative_predictive_value_parity,article | incollection,True,6.0
negative_predictive_value_parity,article | inproceedings,True,61.0
negative_predictive_value_parity,incollection | incollection,True,3.0
negative_predictive_value_parity,inproceedings | other,True,10.0
negative_predictive_value_parity,incollection | other,True,1.0
positive_predictive_value_parity,inproceedings | inproceedings,True,56.0
positive_predictive_value_parity,article | article,True,66.0
positive_predictive_value_parity,article | other,False,6.0
positive_predictive_value_parity,incollection | inproceedings,True,16.0
positive_predictive_value_parity,article | incollection,False,6.0
positive_predictive_value_parity,article | inproceedings,False,61.0
positive_predictive_value_parity,incollection | incollection,True,3.0
positive_predictive_value_parity,inproceedings | other,False,10.0
positive_predictive_value_parity,incollection | other,False,1.0
