measure,sens_attr,is_fair,counts
accuracy_parity,puma | puma,True,1045.0
accuracy_parity,nike | nike,True,4988.0
accuracy_parity,asics | conc.,True,39.0
accuracy_parity,keen | patag.,True,26.0
accuracy_parity,nike | under armour,True,25.0
accuracy_parity,conc. | nike,True,143.0
accuracy_parity,asics | asics,True,1067.0
accuracy_parity,jordan | jordan,True,794.0
accuracy_parity,jordan | other,True,76.0
accuracy_parity,nike | puma,True,352.0
accuracy_parity,conc. | conc.,True,502.0
accuracy_parity,other | other,True,64.0
accuracy_parity,jordan | nike,True,47.0
accuracy_parity,hogan | nike,True,8.0
accuracy_parity,asics | nike,True,190.0
accuracy_parity,nike | other,True,239.0
accuracy_parity,keen | keen,True,287.0
accuracy_parity,adidas | nike,True,24.0
accuracy_parity,conc. | puma,True,143.0
accuracy_parity,jordan | keen,True,27.0
accuracy_parity,keen | nike,True,43.0
accuracy_parity,joma | joma,True,10.0
accuracy_parity,asics | keen,True,11.0
accuracy_parity,adidas | adidas,True,5.0
accuracy_parity,other | puma,True,81.0
accuracy_parity,conc. | other,True,11.0
accuracy_parity,joma | puma,True,22.0
accuracy_parity,ariat | asics,True,11.0
accuracy_parity,adidas | conc.,True,2.0
accuracy_parity,other | patag.,True,2.0
accuracy_parity,asics | other,True,82.0
accuracy_parity,asics | puma,True,61.0
accuracy_parity,keen | other,True,35.0
accuracy_parity,asics | jordan,True,2.0
accuracy_parity,joma | nike,True,19.0
accuracy_parity,puma | under armour,True,28.0
accuracy_parity,under armour | under armour,True,7.0
accuracy_parity,conc. | joma,True,26.0
accuracy_parity,diadora | puma,True,26.0
accuracy_parity,adidas | puma,True,11.0
accuracy_parity,diadora | nike,True,21.0
accuracy_parity,diadora | diadora,True,4.0
accuracy_parity,adidas | asics,True,5.0
accuracy_parity,conc. | under armour,True,14.0
accuracy_parity,ariat | other,False,1.0
accuracy_parity,asics | under armour,True,1.0
accuracy_parity,asics | hogan,True,10.0
accuracy_parity,ariat | nike,True,3.0
accuracy_parity,patag. | patag.,True,10.0
accuracy_parity,hogan | jordan,True,7.0
accuracy_parity,hogan | hogan,False,2.0
accuracy_parity,asics | new balance,True,7.0
accuracy_parity,other | under armour,True,2.0
accuracy_parity,adidas | joma,True,3.0
accuracy_parity,new balance | nike,True,14.0
accuracy_parity,diadora | jordan,True,2.0
accuracy_parity,ariat | jordan,True,4.0
accuracy_parity,asics | diadora,True,2.0
accuracy_parity,hogan | other,True,3.0
accuracy_parity,jordan | puma,True,2.0
accuracy_parity,new balance | new balance,False,2.0
accuracy_parity,ariat | puma,True,3.0
accuracy_parity,adidas | jordan,True,4.0
accuracy_parity,keen | puma,True,2.0
accuracy_parity,nike | patag.,True,2.0
accuracy_parity,joma | under armour,True,2.0
accuracy_parity,new balance | other,True,1.0
accuracy_parity,diadora | other,True,1.0
accuracy_parity,conc. | jordan,True,2.0
statistical_parity,puma | puma,True,1045.0
statistical_parity,nike | nike,True,4988.0
statistical_parity,asics | conc.,True,39.0
statistical_parity,keen | patag.,True,26.0
statistical_parity,nike | under armour,True,25.0
statistical_parity,conc. | nike,True,143.0
statistical_parity,asics | asics,True,1067.0
statistical_parity,jordan | jordan,True,794.0
statistical_parity,jordan | other,True,76.0
statistical_parity,nike | puma,True,352.0
statistical_parity,conc. | conc.,True,502.0
statistical_parity,other | other,True,64.0
statistical_parity,jordan | nike,True,47.0
statistical_parity,hogan | nike,True,8.0
statistical_parity,asics | nike,True,190.0
statistical_parity,nike | other,True,239.0
statistical_parity,keen | keen,True,287.0
statistical_parity,adidas | nike,True,24.0
statistical_parity,conc. | puma,True,143.0
statistical_parity,jordan | keen,True,27.0
statistical_parity,keen | nike,True,43.0
statistical_parity,joma | joma,True,10.0
statistical_parity,asics | keen,True,11.0
statistical_parity,adidas | adidas,True,5.0
statistical_parity,other | puma,True,81.0
