measure,sens_attr,is_fair,counts
accuracy_parity,es | other,True,203.0
accuracy_parity,en | en,True,4169.0
accuracy_parity,fr | fr,True,622.0
accuracy_parity,es | fr,True,841.0
accuracy_parity,es | nl,True,211.0
accuracy_parity,other | other,True,214.0
accuracy_parity,de | de,True,97.0
accuracy_parity,it | it,True,606.0
accuracy_parity,en | it,True,2112.0
accuracy_parity,fr | pl,True,377.0
accuracy_parity,en | nl,True,629.0
accuracy_parity,es | it,True,801.0
accuracy_parity,en | fr,True,2279.0
accuracy_parity,en | es,True,1522.0
accuracy_parity,de | en,True,757.0
accuracy_parity,es | es,True,365.0
accuracy_parity,pl | pl,True,777.0
accuracy_parity,en | other,True,956.0
accuracy_parity,en | eu,True,192.0
accuracy_parity,fr | it,True,1230.0
accuracy_parity,es | pl,True,256.0
accuracy_parity,eu | other,True,80.0
accuracy_parity,nl | pl,True,149.0
accuracy_parity,other | pl,True,230.0
accuracy_parity,fr | nl,True,336.0
accuracy_parity,en | pl,True,935.0
accuracy_parity,it | nl,True,345.0
accuracy_parity,eu | pl,True,103.0
accuracy_parity,nl | other,True,81.0
accuracy_parity,it | pl,True,373.0
accuracy_parity,fr | nb,True,19.0
accuracy_parity,de | it,True,291.0
accuracy_parity,nl | nl,True,95.0
accuracy_parity,nb | nl,True,5.0
accuracy_parity,it | other,True,201.0
accuracy_parity,fr | other,True,255.0
accuracy_parity,de | fr,True,322.0
accuracy_parity,de | es,True,255.0
accuracy_parity,it | sv,True,4.0
accuracy_parity,de | other,True,114.0
accuracy_parity,de | nl,True,88.0
accuracy_parity,eu | eu,True,30.0
accuracy_parity,nl | pt,True,7.0
accuracy_parity,fr | pt,True,22.0
accuracy_parity,cs | cs,True,1.0
accuracy_parity,de | pl,True,105.0
accuracy_parity,en | sv,True,34.0
accuracy_parity,de | eu,True,21.0
accuracy_parity,bg | other,True,4.0
accuracy_parity,nb | other,True,9.0
accuracy_parity,fr | sv,True,23.0
accuracy_parity,nl | sv,True,15.0
accuracy_parity,other | us,True,1.0
accuracy_parity,es | eu,True,26.0
