measure,sens_attr,is_fair,counts
accuracy_parity,Hip-Hop/Rap,True,27.0
accuracy_parity,Music,True,109.0
accuracy_parity,other,True,60.0
accuracy_parity,Rap & Hip-Hop,True,26.0
accuracy_parity,Dance,True,50.0
accuracy_parity,Dance & Elec.,True,39.0
accuracy_parity,Elec.,True,37.0
accuracy_parity,French Pop,True,13.0
accuracy_parity,House,True,22.0
accuracy_parity,Rock,True,53.0
accuracy_parity,Rap,True,19.0
accuracy_parity,Pop,True,28.0
accuracy_parity,R&B / Soul,True,14.0
accuracy_parity,Cont. Country,True,12.0
accuracy_parity,Country,True,12.0
accuracy_parity,Honky Tonk,True,10.0
accuracy_parity,Pop/Rock,True,10.0
statistical_parity,Hip-Hop/Rap,True,27.0
statistical_parity,Music,True,109.0
statistical_parity,other,True,60.0
statistical_parity,Rap & Hip-Hop,True,26.0
statistical_parity,Dance,True,50.0
statistical_parity,Dance & Elec.,True,39.0
statistical_parity,Elec.,True,37.0
statistical_parity,French Pop,False,13.0
statistical_parity,House,True,22.0
statistical_parity,Rock,True,53.0
statistical_parity,Rap,True,19.0
statistical_parity,Pop,True,28.0
statistical_parity,R&B / Soul,True,14.0
statistical_parity,Cont. Country,True,12.0
statistical_parity,Country,True,12.0
statistical_parity,Honky Tonk,True,10.0
statistical_parity,Pop/Rock,True,10.0
true_positive_rate_parity,Hip-Hop/Rap,True,27.0
true_positive_rate_parity,Music,True,109.0
true_positive_rate_parity,other,True,60.0
true_positive_rate_parity,Rap & Hip-Hop,True,26.0
true_positive_rate_parity,Dance,True,50.0
true_positive_rate_parity,Dance & Elec.,True,39.0
true_positive_rate_parity,Elec.,True,37.0
true_positive_rate_parity,French Pop,True,13.0
true_positive_rate_parity,House,True,22.0
true_positive_rate_parity,Rock,True,53.0
true_positive_rate_parity,Rap,True,19.0
true_positive_rate_parity,Pop,False,28.0
true_positive_rate_parity,R&B / Soul,True,14.0
true_positive_rate_parity,Cont. Country,True,12.0
true_positive_rate_parity,Country,True,12.0
true_positive_rate_parity,Honky Tonk,True,10.0
true_positive_rate_parity,Pop/Rock,True,10.0
false_positive_rate_parity,Hip-Hop/Rap,True,27.0
false_positive_rate_parity,Music,True,109.0
false_positive_rate_parity,other,True,60.0
false_positive_rate_parity,Rap & Hip-Hop,True,26.0
false_positive_rate_parity,Dance,True,50.0
false_positive_rate_parity,Dance & Elec.,True,39.0
false_positive_rate_parity,Elec.,True,37.0
false_positive_rate_parity,French Pop,True,13.0
false_positive_rate_parity,House,True,22.0
false_positive_rate_parity,Rock,True,53.0
false_positive_rate_parity,Rap,True,19.0
false_positive_rate_parity,Pop,True,28.0
false_positive_rate_parity,R&B / Soul,False,14.0
false_positive_rate_parity,Cont. Country,True,12.0
false_positive_rate_parity,Country,True,12.0
false_positive_rate_parity,Honky Tonk,True,10.0
false_positive_rate_parity,Pop/Rock,True,10.0
negative_predictive_value_parity,Hip-Hop/Rap,True,27.0
negative_predictive_value_parity,Music,True,109.0
negative_predictive_value_parity,other,True,60.0
negative_predictive_value_parity,Rap & Hip-Hop,True,26.0
negative_predictive_value_parity,Dance,True,50.0
negative_predictive_value_parity,Dance & Elec.,True,39.0
negative_predictive_value_parity,Elec.,True,37.0
negative_predictive_value_parity,French Pop,True,13.0
negative_predictive_value_parity,House,True,22.0
negative_predictive_value_parity,Rock,True,53.0
negative_predictive_value_parity,Rap,True,19.0
negative_predictive_value_parity,Pop,True,28.0
negative_predictive_value_parity,R&B / Soul,True,14.0
negative_predictive_value_parity,Cont. Country,False,12.0
negative_predictive_value_parity,Country,False,12.0
negative_predictive_value_parity,Honky Tonk,False,10.0
negative_predictive_value_parity,Pop/Rock,True,10.0
positive_predictive_value_parity,Hip-Hop/Rap,True,27.0
positive_predictive_value_parity,Music,True,109.0
positive_predictive_value_parity,other,True,60.0
positive_predictive_value_parity,Rap & Hip-Hop,True,26.0
positive_predictive_value_parity,Dance,True,50.0
positive_predictive_value_parity,Dance & Elec.,True,39.0
positive_predictive_value_parity,Elec.,True,37.0
positive_predictive_value_parity,French Pop,True,13.0
positive_predictive_value_parity,House,True,22.0
positive_predictive_value_parity,Rock,True,53.0
positive_predictive_value_parity,Rap,True,19.0
positive_predictive_value_parity,Pop,False,28.0
positive_predictive_value_parity,R&B / Soul,True,14.0
positive_predictive_value_parity,Cont. Country,True,12.0
positive_predictive_value_parity,Country,True,12.0
positive_predictive_value_parity,Honky Tonk,True,10.0
positive_predictive_value_parity,Pop/Rock,True,10.0
