measure,sens_attr,is_fair,counts
accuracy_parity,Dance | Dance & Electronic,True,100.0
accuracy_parity,Electronic | Dance & Electronic,True,65.0
accuracy_parity,Music | Dance & Electronic,True,109.0
accuracy_parity,House | Dance & Electronic,True,33.0
accuracy_parity,Rock | Dance & Electronic,True,41.0
accuracy_parity,Cont. Country | Country,True,30.0
accuracy_parity,Country | Country,True,35.0
accuracy_parity,Honky Tonk | Country,True,14.0
accuracy_parity,Music | Country,True,35.0
accuracy_parity,French Pop | Dance & Electronic,True,15.0
accuracy_parity,East Coast Rap | Rap & Hip-Hop,True,34.0
accuracy_parity,Hardcore Rap | Rap & Hip-Hop,True,42.0
accuracy_parity,Hip-Hop/Rap | Rap & Hip-Hop,True,67.0
accuracy_parity,Music | Rap & Hip-Hop,True,74.0
accuracy_parity,Rap | Rap & Hip-Hop,True,59.0
accuracy_parity,Rock | Rap & Hip-Hop,True,14.0
accuracy_parity,Dance | Rap & Hip-Hop,True,8.0
accuracy_parity,Electronic | Rap & Hip-Hop,True,8.0
accuracy_parity,French Pop | Rap & Hip-Hop,True,3.0
accuracy_parity,House | Rap & Hip-Hop,True,3.0
accuracy_parity,Cont. R&B | Pop,True,14.0
accuracy_parity,Dance | Pop,True,30.0
accuracy_parity,Music | Pop,True,55.0
accuracy_parity,Pop | Pop,True,40.0
accuracy_parity,R&B / Soul | Pop,True,19.0
accuracy_parity,Rock | Pop,True,36.0
accuracy_parity,Cont. Country | Cowboy,True,2.0
accuracy_parity,Cont. Country | Traditional Country,True,2.0
accuracy_parity,Country | Cowboy,True,2.0
accuracy_parity,Country | Traditional Country,True,4.0
accuracy_parity,Music | Cowboy,True,2.0
accuracy_parity,Music | Traditional Country,True,2.0
accuracy_parity,Urban Cowboy | Country,True,11.0
accuracy_parity,Urban Cowboy | Cowboy,True,2.0
accuracy_parity,Urban Cowboy | Traditional Country,True,2.0
accuracy_parity,Dance | Dubstep,True,8.0
accuracy_parity,Dance | Electronica,True,10.0
accuracy_parity,Music | Dubstep,True,8.0
accuracy_parity,Music | Electronica,True,16.0
accuracy_parity,Alternative | Rock,True,19.0
accuracy_parity,Hard Rock | Rock,True,18.0
accuracy_parity,Metal | Rock,True,16.0
accuracy_parity,Music | Rock,True,32.0
accuracy_parity,Rock | Rock,True,30.0
accuracy_parity,Folk | Music,True,8.0
accuracy_parity,Folk | Rock,True,7.0
accuracy_parity,Folk | Singer/Songwriter,True,7.0
accuracy_parity,Rock | Music,True,32.0
accuracy_parity,Rock | Singer/Songwriter,True,8.0
accuracy_parity,Pop/Rock | Pop,True,16.0
accuracy_parity,Teen Pop | Pop,True,7.0
accuracy_parity,Electronic | Dubstep,True,5.0
accuracy_parity,Electronic | Pop,True,14.0
accuracy_parity,Reggae | Pop,True,1.0
accuracy_parity,Dirty South | Rap & Hip-Hop,True,9.0
accuracy_parity,Hip-Hop / Rap | Pop,True,7.0
accuracy_parity,Gangsta & Hardcore | Gangsta Rap,True,1.0
accuracy_parity,Gangsta & Hardcore | Hardcore Rap,True,2.0
accuracy_parity,Gangsta & Hardcore | Hip-Hop / Rap,True,1.0
accuracy_parity,Gangsta & Hardcore | Music,True,2.0
accuracy_parity,Gangsta & Hardcore | Rap,True,2.0
accuracy_parity,Gangsta & Hardcore | Soundtrack,True,1.0
accuracy_parity,Gangsta & Hardcore | West Coast Rap,True,1.0
accuracy_parity,Rap & Hip-Hop | Gangsta Rap,True,3.0
accuracy_parity,Rap & Hip-Hop | Hardcore Rap,True,42.0
accuracy_parity,Rap & Hip-Hop | Hip-Hop / Rap,True,3.0
accuracy_parity,Rap & Hip-Hop | Music,True,74.0
accuracy_parity,Rap & Hip-Hop | Rap,True,59.0
accuracy_parity,Rap & Hip-Hop | Soundtrack,True,2.0
accuracy_parity,Rap & Hip-Hop | West Coast Rap,True,6.0
accuracy_parity,Cont. R&B | R&B,True,2.0
accuracy_parity,Music | R&B,True,3.0
accuracy_parity,R&B / Soul | R&B,True,3.0
accuracy_parity,Rock | R&B,True,2.0
accuracy_parity,Singer/Songwriter | Rock,True,8.0
accuracy_parity,Electronic | Electronica,True,14.0
accuracy_parity,Garage | Dance & Electronic,True,3.0
accuracy_parity,Garage | Electronica,True,3.0
accuracy_parity,House | Electronica,True,5.0
accuracy_parity,Rock | Electronica,True,6.0
accuracy_parity,International | Music,True,5.0
accuracy_parity,International | Pop,True,2.0
